産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.56,1.77,1.46,1.67
"鉱業,採石業,砂利採取業",1.13,2.33,1.13,2.33
建設業,0.7,0.87,0.47,0.85
製造業,0.83,1.09,0.9,1.19
電気・ガス・熱供給・水道業,0.24,0.59,0.31,0.76
情報通信業,1.58,1.42,1.65,1.51
"運輸業,郵便業",0.78,1.17,0.65,1.24
"卸売業,小売業",1.47,1.68,1.52,1.39
"金融業,保険業",1.82,3.07,1.3,2.84
"不動産業,物品賃貸業",2.37,0.8,3.06,0.82
"学術研究,専門・技術サービス業",1.74,1.61,1.45,1.64
"宿泊業,飲食サービス業",2.68,2.73,2.21,2.35
"生活関連サービス業,娯楽業",1.95,2.63,1.23,2.22
"教育,学習支援業",1.02,2.03,1.03,2.38
"医療,福祉",1.53,1.56,1.33,1.38
複合サービス事業,0.38,1.84,0.32,2.13
サービス業（他に分類されないもの）,1.86,2.25,2,2.25
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年１月分（確報）,,,,
第４表  規模、産業別労働異動率,,,,
