規模,産業,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,調査産業計,5993026,73799,100895,5966490,1897371,64206,85409,1875608
５人以上,"鉱業,採石業,砂利採取業",1369,19,24,1364,15,0,0,15
５人以上,建設業,381909,3638,4571,380975,14788,42,119,14712
５人以上,製造業,412591,2675,2988,412275,55023,1833,1802,55057
５人以上,電気・ガス・熱供給・水道業,20451,603,185,20965,416,84,0,404
５人以上,情報通信業,830254,6232,9277,827306,50588,1246,1454,50283
５人以上,"運輸業,郵便業",368443,6372,5314,369316,45149,672,1361,44645
５人以上,"卸売業,小売業",1231628,15561,17429,1229872,438712,11319,18276,431643
５人以上,"金融業,保険業",366892,5456,6574,365822,26206,320,591,25887
５人以上,"不動産業,物品賃貸業",213756,2479,1786,214460,28153,311,731,27722
５人以上,"学術研究,専門・技術サービス業",371411,4744,4936,371378,33747,1249,1961,32876
５人以上,"宿泊業,飲食サービス業",188268,1588,6917,183261,456146,29101,26686,458239
５人以上,"生活関連サービス業,娯楽業",152112,2955,2389,152768,79471,1898,6085,75194
５人以上,"教育,学習支援業",247322,1899,9662,239567,148085,1897,14177,135797
５人以上,"医療,福祉",465353,4938,9012,461142,309232,7536,5255,311650
５人以上,複合サービス事業,23276,218,658,22835,6632,1,127,6507
５人以上,サービス業（他に分類されないもの）,717991,14422,19173,713184,205008,6697,6784,204977
30人以上,調査産業計,4586917,51833,76335,4562709,954134,24682,38138,940384
30人以上,"鉱業,採石業,砂利採取業",1369,19,24,1364,15,0,0,15
30人以上,建設業,256412,2479,3181,255709,3763,42,65,3741
30人以上,製造業,307446,1966,2422,306988,31464,503,1059,30910
30人以上,電気・ガス・熱供給・水道業,16102,603,115,16591,300,37,0,336
30人以上,情報通信業,739245,5774,7242,737874,41785,1071,862,41897
30人以上,"運輸業,郵便業",312699,5413,4772,313155,33119,432,1196,32540
30人以上,"卸売業,小売業",883774,7139,10820,880114,168276,2134,3814,166575
30人以上,"金融業,保険業",301923,4119,5891,300199,22182,271,328,22077
30人以上,"不動産業,物品賃貸業",153977,1495,1177,154305,20529,311,427,20403
30人以上,"学術研究,専門・技術サービス業",278383,3612,4078,277891,16875,738,876,16763
30人以上,"宿泊業,飲食サービス業",102333,949,3224,100380,118266,6525,5363,119106
30人以上,"生活関連サービス業,娯楽業",75589,934,795,75818,39661,1407,2034,38944
30人以上,"教育,学習支援業",207100,1231,8922,199418,93961,1485,12486,82951
30人以上,"医療,福祉",326273,2750,5685,323304,178297,3683,3573,178441
30人以上,複合サービス事業,13853,218,408,13662,4246,1,127,4121
30人以上,サービス業（他に分類されないもの）,610439,13132,17579,605937,181395,6042,5928,181564
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年３月分,,,,,,,,,
第７表  規模、産業、就業形態別常用労働者数,,,,,,,,,
