規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.4,163.4,146.5,16.9,13.5,89.3,85.4,3.9
100～499人,19.8,168.3,152,16.3,14.6,93.6,89.4,4.2
100人以上,19.6,165.8,149.2,16.6,14.2,92,87.9,4.1
30～99人,19.7,166,151.4,14.6,13.3,81.9,78.9,3
５～29人,20.6,168.5,157.9,10.6,12.6,72,70,2
30人以上,19.6,165.8,149.8,16,13.8,87.5,83.9,3.6
５人以上,19.9,166.4,151.7,14.7,13.2,80,77.2,2.8
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年６月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
