産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.48,1.74,1.29,1.49
"鉱業,採石業,砂利採取業",2,3.07,2,3.07
建設業,0.55,1.32,0.66,1.47
製造業,0.8,0.88,0.57,0.75
電気・ガス・熱供給・水道業,0.57,0.95,0.73,0.29
情報通信業,0.86,0.85,0.8,0.78
"運輸業,郵便業",0.91,1.05,0.74,1.05
"卸売業,小売業",1.12,1.8,0.82,1.55
"金融業,保険業",1.01,1.14,0.84,0.95
"不動産業,物品賃貸業",1.04,1.09,0.6,0.74
"学術研究,専門・技術サービス業",1.81,1.31,1.57,1.3
"宿泊業,飲食サービス業",3.73,3.97,4.23,3.17
"生活関連サービス業,娯楽業",2.35,1.52,3.12,1.62
"教育,学習支援業",1.51,2.16,1.17,1.91
"医療,福祉",1.47,2.4,1.43,2.3
複合サービス事業,0.37,2.7,0.34,3.14
サービス業（他に分類されないもの）,2.13,1.75,2.3,1.89
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年２月分,,,,
第４表  規模、産業別労働異動率,,,,
