規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.6,157.1,140.1,17,12.7,82.7,79.4,3.3
100～499人,18.9,161.7,145.6,16.1,13.8,85.1,81.4,3.7
100人以上,18.8,159.4,142.8,16.6,13.4,84.2,80.7,3.5
30～99人,18.9,160.2,145,15.2,12.5,75.6,73.4,2.2
５～29人,19.8,162.6,151.6,11,12.2,71.4,69.2,2.2
30人以上,18.8,159.7,143.5,16.2,13,80.2,77.3,2.9
５人以上,19,160.3,145.3,15,12.6,75.7,73.2,2.5
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年１２月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
