"種別大","種別中","種別小","種別細","単価[円]","対象数[人][世帯]","支給総額[円]","備考"
"生活保護世帯の援護","学童・生徒に対する学童服及び運動衣の購入費（通学用服、小学校１年・中学校１年・高校１年生を除く）",,,,"83人",,"小･中･高生同一単価"
"生活保護世帯の援護","学童・生徒に対する学童服及び運動衣の購入費（通学用服、小学校１年・中学校１年・高校１年生を除く）",,"学童服","11400",,"946200","小･中･高生同一単価"
"生活保護世帯の援護","学童・生徒に対する学童服及び運動衣の購入費（通学用服、小学校１年・中学校１年・高校１年生を除く）",,"運動衣","4100",,"340300","小･中･高生同一単価"
"生活保護世帯の援護","夏休み中の学童・生徒に対する夏季健全育成費",,,"3300","109人","359700","小･中･高生同一単価"
"生活保護世帯の援護","居宅世帯に対する見舞金","夏季",,,"1,532 世帯","8086000",
"生活保護世帯の援護","居宅世帯に対する見舞金","夏季","居宅単身世帯","5000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","夏季","居宅複数世帯","7000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","夏季","単身入院世帯","3000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","夏季","施設入所世帯","5000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","冬季",,,"1,522 世帯","8068000",
"生活保護世帯の援護","居宅世帯に対する見舞金","冬季","居宅単身世帯","5000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","冬季","居宅複数世帯","7000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","冬季","単身入院世帯","3000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","冬季","施設入所世帯","5000",,,
"生活保護世帯の援護","出産世帯に対する祝品",,,,"1世帯",,"5,000円相当の祝品を支給"
"生活保護世帯の援護","修学旅行支度金",,"小学生","4300","19 人","81700",
"生活保護世帯の援護","修学旅行支度金",,"中学生・高校生","8500","18 人","153000",
"生活保護世帯の援護","高校学習支援金・就職支度金",,,"51500","13 人","669500",
"その他の援護","原爆被爆者に対する見舞金",,,"12000","97 人","1164000",

"令和元年度港区行政資料集　法外援護","Ver201903",,,,,,
