"年度","区分","療養諸費 療養の給付 入院","療養諸費 療養の給付 入院外","療養諸費 療養の給付 歯科","療養諸費 療養の給付 薬剤","療養諸費 療養の給付 食事療養費","療養諸費 療養の給付 訪問看護","療養諸費 療養の給付 小計","療養諸費 療養費 診療費","療養諸費 療養費 その他","療養諸費 療養費 小計","療養諸費 合計","被保険者一人当たりの療養諸費費用額","被保険者一人当たりの療養諸費保険者負担額","高額療養費","移送費","その他の保険給付 出産育児一時金","その他の保険給付 葬祭費","その他の保険給付 結核･精神医療給付金","その他の保険給付 合計"
"2016","件数[件]","9725","437559","121832","248645","9063","1216","818977","963","22315","23278","842255",,,"21905","0","449","186","9795","10430"
"2016","費用額[円]","5231105000","6573274000","1473448000","2906929000","204839000","71393000","16460988000","21867000","220623000","242490000","16703477000","280693","201616","1482508000","0","198758000","13020000","11843000","223621000"
"2017","件数[件]","9167","422820","118377","244861","8714","1430","796655","996","21918","22914","819569",,,"21737","0","424","172","10566","11162"
"2017","費用額[円]","5225841000","6502055000","1430935000","2843569000","196867000","94165000","16293433000","22442000","217251000","239694000","16533127000","286824","206484","1486501000","0","184992000","12040000","12547000","209579000"
"2018","件数[件]","8799","418198","115423","244466","8301","1707","788593","848","20380","21228","809821",,,"16885","0","393","167","10679","11239"
"2018","費用額[円]","5090871000","6395156000","1388211000","2715183000","184671000","114536000","15888628000","19529000","203145000","222674000","16111302000","290236","209175","1449057000","0","169182000","11690000","12475000","193347000"
"2019","件数[件]","8438","405109","112122","241112","7974","1770","776525","972","18475","19447","795972",,,"16616","0","351","150","10980","11481"
"2019","費用額[円]","4987512000","6458362000","1339101000","2710095000","182948000","131054000","15809072000","22292000","178837000","201130000","16010201000","298698","215571","1474400000","0","149827000","10640000","12485000","172952000"
"2020","件数[件]","8041","349115","97605","213623","7166","2031","677581","1031","14649","15680","693261",,,"23563","0","295","187","10993","11475"
"2020","費用額[円]","4691275000","6013525000","1275369000","2615013000","169058000","164913000","14929153000","13964000","150852000","164816000","15093969000","310048","223765","1433229000","0","125919000","13090000","12558000","151567000"

"令和3年度港区行政資料集　国民健康保険給付状況","Ver202103",,,,,,,,,,,,,,,,,,,
