事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／前年月数差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／前年月数差(か月)
30人以上,TL 調査産業計,718514,5.2,77.4,83.4,1.47,0.14,694719,6.9,75.8,82,1.5,-0.01
30人以上,"C 鉱業,採石業,砂利採取業",2247872,30.3,100,100,3.34,-0.08,1661639,31.2,100,100,2.1,0.4
30人以上,D 建設業,819014,-12.1,89.1,96.3,1.79,0,688199,-28.1,95.4,98,1.76,-0.23
30人以上,E 製造業,905154,0.9,75.3,84.4,1.63,0.09,836755,1.3,85.5,84.8,1.65,0.16
30人以上,F 電気・ガス・熱供給・水道業,1054419,5.3,77.5,75.3,2.29,0.27,1078741,10.4,77.5,75.2,2.36,0.22
30人以上,G 情報通信業,808651,0.6,79.4,85.3,1.75,0,778459,3.5,74.8,83,1.86,0.04
30人以上,"H 運輸業,郵便業",625331,17.1,77.2,83.1,1.45,0.25,632299,26.5,83.3,86.6,1.49,0.29
30人以上,"I 卸売業,小売業",869742,4.2,70.3,79.1,1.6,0.13,866064,0.7,65.9,78.4,1.62,-0.1
30人以上,"J 金融業,保険業",1082007,5.6,82.3,90.6,2.34,-0.05,912293,-3.9,77.8,84.6,2.04,-0.08
30人以上,"K 不動産業,物品賃貸業",967857,16,71.6,85.5,1.77,-0.06,910881,5.1,74.6,88.4,1.79,-0.2
30人以上,"L 学術研究,専門・技術サービス業",840780,-3.1,79.2,88.3,1.49,-0.02,692236,3,76.8,81.6,1.55,0.09
30人以上,"M 宿泊業,飲食サービス業",135694,-1.2,63.2,67.6,0.46,0.05,168526,-6.2,63.3,65.1,0.54,0.02
30人以上,"N 生活関連サービス業,娯楽業",391394,46.4,73.4,78.3,0.99,0.2,295750,-24,88.2,82.3,0.77,-0.31
30人以上,"O 教育,学習支援業",654074,-1.5,92.9,95,1.87,0.29,698299,-0.4,92.8,92.6,1.78,-0.15
30人以上,"P 医療,福祉",429960,29,88.2,70.8,1.05,0.17,491791,9.2,64.8,62.3,1.3,-0.02
30人以上,Q 複合サービス事業,527619,-23.2,100,100,1.73,0.12,579869,2.9,97.1,95.6,1.98,0.16
30人以上,R サービス業（他に分類されないもの）,360406,6.4,74.1,81.5,1.26,0.15,408581,67.7,78.1,81.8,1.29,0.2
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年年報,,,,,,,,,,,,,
第５表　夏・冬季賞与の産業別支給状況（事業所規模30人以上）,,,,,,,,,,,,,
