規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,16.3,17.1,15.3,131.8,143.8,117.1,120.5,129.4,109.5,11.3,14.4,7.6
５人以上,"鉱業,採石業,砂利採取業",17.4,17.3,17.6,150.3,151.5,146.3,127.7,127.8,127.4,22.6,23.7,18.9
５人以上,建設業,17.6,17.9,16.3,150,154.4,132.1,132.9,135.7,121.8,17.1,18.7,10.3
５人以上,製造業,17.1,17.5,16.2,140.7,145.9,128.1,130.4,134.7,120,10.3,11.2,8.1
５人以上,電気・ガス・熱供給・水道業,17.8,17.9,16.9,150.8,153.2,139.6,134.6,136,128,16.2,17.2,11.6
５人以上,情報通信業,17.2,17.6,16.5,148,152.5,137.4,131.7,134.8,124.4,16.3,17.7,13
５人以上,"運輸業,郵便業",17.7,18.2,16.2,156,165.5,128.4,136.8,143.2,118.2,19.2,22.3,10.2
５人以上,"卸売業,小売業",16.5,17.3,15.6,130.7,143,116.3,121.5,131.2,110.2,9.2,11.8,6.1
５人以上,"金融業,保険業",17.4,17.9,16.9,143.7,152.4,135.2,127.4,132.7,122.3,16.3,19.7,12.9
５人以上,"不動産業,物品賃貸業",17.5,17.9,16.6,142.7,149.3,131.4,130.9,136.3,121.6,11.8,13,9.8
５人以上,"学術研究,専門・技術サービス業",16.9,17.2,16.4,145.4,152.3,136.5,130.3,134.9,124.3,15.1,17.4,12.2
５人以上,"宿泊業,飲食サービス業",12.8,13.9,11.9,92.8,110.2,79.8,85.9,99.7,75.6,6.9,10.5,4.2
５人以上,"生活関連サービス業,娯楽業",15.9,16.7,15.1,118.8,125.2,113.2,112.7,119,107.1,6.1,6.2,6.1
５人以上,"教育,学習支援業",14.1,15,13.1,103.6,111.6,95.6,97,105.2,88.7,6.6,6.4,6.9
５人以上,"医療,福祉",15.6,16.2,15.3,118.3,126.2,115.2,112.7,119.4,110.1,5.6,6.8,5.1
５人以上,複合サービス事業,17.6,18.3,16.6,142.2,154.1,123.9,130.9,138.7,119,11.3,15.4,4.9
５人以上,サービス業（他に分類されないもの）,16.9,17.5,16.3,136.6,147.7,124.4,124.2,131.2,116.5,12.4,16.5,7.9
30人以上,調査産業計,16.9,17.4,16.1,139.4,148.4,126.8,126.1,132.4,117.3,13.3,16,9.5
30人以上,"鉱業,採石業,砂利採取業",17.4,17.3,17.6,150.3,151.5,146.3,127.7,127.8,127.4,22.6,23.7,18.9
30人以上,建設業,17.7,17.9,16.6,154.3,158,139.2,134.8,137.1,125.4,19.5,20.9,13.8
30人以上,製造業,17.3,17.6,16.6,145,148.4,136.2,132.8,135.6,125.6,12.2,12.8,10.6
30人以上,電気・ガス・熱供給・水道業,17.6,17.8,16.8,149.8,152.1,139.5,133.6,135,127.2,16.2,17.1,12.3
30人以上,情報通信業,17.3,17.6,16.5,149.1,153.6,138.3,132,135,124.6,17.1,18.6,13.7
30人以上,"運輸業,郵便業",17.6,18.1,16.1,155.3,165.4,128.3,135.8,142.5,118,19.5,22.9,10.3
30人以上,"卸売業,小売業",17.2,17.6,16.7,141,148.9,129.8,129.5,135.2,121.4,11.5,13.7,8.4
30人以上,"金融業,保険業",17.4,17.8,16.9,144.7,152.2,136.8,126.9,131.5,122,17.8,20.7,14.8
30人以上,"不動産業,物品賃貸業",17.5,17.9,16.8,143.6,148.6,134.8,130.5,134.5,123.4,13.1,14.1,11.4
30人以上,"学術研究,専門・技術サービス業",17.1,17.3,16.9,149,154.2,142.1,132.5,135.6,128.3,16.5,18.6,13.8
30人以上,"宿泊業,飲食サービス業",13.7,15.1,12.5,104.9,125.2,87.8,96.3,112,83,8.6,13.2,4.8
30人以上,"生活関連サービス業,娯楽業",14.7,15.7,13.8,109.1,118.4,100.2,101.5,110.4,93.1,7.6,8,7.1
30人以上,"教育,学習支援業",14.5,15.3,13.8,111.4,117.4,105.1,103.3,110,96.3,8.1,7.4,8.8
30人以上,"医療,福祉",16.5,16.7,16.4,128.7,131.5,127.4,122,124.2,121,6.7,7.3,6.4
30人以上,複合サービス事業,18.3,18.6,17.5,146.7,157.7,119.9,131,138.4,113,15.7,19.3,6.9
30人以上,サービス業（他に分類されないもの）,17,17.7,16.4,138.1,149.5,126.3,125.4,132.4,118.2,12.7,17.1,8.1
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年１月分,,,,,,,,,,,,,
第２表  規模、産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
