規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,643099,769156,459737,448230,522814,339741,411561,36669,194869,246342,119996
100～499人,524148,624817,382407,385171,451501,291780,356182,28989,138977,173316,90627
100人以上,582366,695944,419885,416034,486642,315024,383286,32748,166332,209302,104861
30～99人,423311,527866,297552,321102,382183,247634,299604,21498,102209,145683,49918
５～29人,329247,435065,232554,249970,320955,185106,237820,12150,79277,114110,47448
30人以上,531373,644767,377997,385599,454836,291949,356458,29141,145774,189931,86048
５人以上,471239,590203,328201,345248,420000,255369,321162,24086,125991,170203,72832
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年７月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
