規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.9,18.3,17.3,148.1,154.8,138.1,133.3,137.8,126.5,14.8,17,11.6
100～499人,18.1,18.6,17.4,149.4,159.3,136.2,135.9,142.9,126.5,13.5,16.4,9.7
100人以上,18,18.5,17.3,148.7,157.1,137.1,134.6,140.4,126.5,14.1,16.7,10.6
30～99人,17.4,18.3,16.4,139.5,152.4,123.8,127.7,137.6,115.7,11.8,14.8,8.1
５～29人,16.2,17.6,14.9,122.5,141,105.4,115.2,130.4,101.2,7.3,10.6,4.2
30人以上,17.8,18.4,17,145.8,155.6,132.6,132.4,139.5,122.8,13.4,16.1,9.8
５人以上,17.3,18.2,16.3,138.7,151.8,123.2,127.2,137.1,115.4,11.5,14.7,7.8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年12月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
