規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17.6,149.8,133.6,16.2,12,79,75.4,3.6
100～499人,17.9,153.3,138,15.3,13.3,85,81.2,3.8
100人以上,17.8,151.6,135.8,15.8,12.8,82.6,78.9,3.7
30～99人,17.8,151.3,137.2,14.1,11.5,70.4,68.4,2
５～29人,17.9,148.5,138.3,10.2,11.2,65.9,64,1.9
30人以上,17.8,151.5,136.2,15.3,12.2,77,74.1,2.9
５人以上,17.8,150.8,136.7,14.1,11.7,71.2,68.8,2.4
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年１月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
