規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.6,156.1,139.9,16.2,12.5,82.9,79.3,3.6
100～499人,18.8,160.6,145.3,15.3,14.5,95.7,90.9,4.8
100人以上,18.7,158.4,142.6,15.8,13.7,90.9,86.5,4.4
30～99人,18.8,158.8,144.2,14.6,13,76.9,74.3,2.6
５～29人,19.7,163,152,11,11.6,67.6,65.4,2.2
30人以上,18.7,158.4,143,15.4,13.4,84.7,81.1,3.6
５人以上,18.9,159.5,145.1,14.4,12.5,75.9,73,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年12月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
