規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17,17.5,16.3,142.1,149.5,131.1,126.7,131.5,119.4,15.4,18,11.7
100～499人,17.5,18.1,16.8,144.9,155,130.9,131.2,138.3,121.4,13.7,16.7,9.5
100人以上,17.3,17.8,16.5,143.5,152.3,130.9,129,135,120.4,14.5,17.3,10.5
30～99人,16.8,17.8,15.6,136.1,151.5,118,124.1,135.7,110.4,12,15.8,7.6
５～29人,16.1,17.4,14.9,121,138.7,104.3,114.3,128.8,100.5,6.7,9.9,3.8
30人以上,17.1,17.8,16.2,141.1,152.1,126.5,127.4,135.2,117,13.7,16.9,9.5
５人以上,16.8,17.7,15.8,135.2,148.5,119,123.5,133.5,111.4,11.7,15,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
