事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
30人以上,TL 調査産業計,平成30,2018,年平均,5538582,3312961,2225621,112995,59322,53673,111153,59920,51233,5540424,3312363,2228061,20,11,33.4
30人以上,TL 調査産業計,平成31・令和元,2019,年平均,5652820,3374907,2277913,129406,68685,60721,118853,64053,54800,5663373,3379539,2283834,20,11.4,32.7
30人以上,TL 調査産業計,令和２,2020,年平均,5677271,3408264,2269007,113370,60470,52900,117706,64399,53307,5672935,3404335,2268600,19.4,11.6,30.9
30人以上,TL 調査産業計,令和３,2021,年平均,5636126,3357118,2279008,108216,56774,51442,109779,60668,49112,5634563,3353224,2281338,18.1,10.2,29.6
30人以上,TL 調査産業計,令和４,2022,年平均,5593677,3269025,2324652,112821,57697,55124,107149,56292,50857,5599349,3270430,2328919,17.7,9.7,29.1
30人以上,TL 調査産業計,令和５,2023,年平均,5674787,3268671,2406116,112222,56187,56035,104520,52553,51967,5682489,3272305,2410184,16.9,9.1,27.5
30人以上,TL 調査産業計,令和５,2023,1月,5621214,3262713,2358501,79248,40630,38618,91005,42099,48906,5609457,3261244,2348213,16.2,9.2,26
30人以上,TL 調査産業計,令和５,2023,2月,5621027,3231381,2389646,70929,34528,36401,83829,42909,40920,5608127,3223000,2385127,17.1,8.9,28.3
30人以上,TL 調査産業計,令和５,2023,3月,5597080,3239524,2357556,84421,42486,41935,111819,57669,54150,5569682,3224341,2345341,16.7,8.7,27.7
30人以上,TL 調査産業計,令和５,2023,4月,5579028,3218634,2360394,375888,201229,174659,241296,129769,111527,5713620,3290094,2423526,16.5,8.8,26.9
30人以上,TL 調査産業計,令和５,2023,5月,5719661,3291299,2428362,114970,51720,63250,107529,53667,53862,5727102,3289352,2437750,16.7,8.8,27.3
30人以上,TL 調査産業計,令和５,2023,6月,5732066,3309674,2422392,77062,36109,40953,103248,49943,53305,5705880,3295840,2410040,16.7,9.2,27.1
30人以上,TL 調査産業計,令和５,2023,7月,5698544,3279322,2419222,109895,53779,56116,102036,55319,46717,5706403,3277782,2428621,17,9.3,27.5
30人以上,TL 調査産業計,令和５,2023,8月,5707122,3278615,2428507,72961,36050,36911,88025,41204,46821,5692058,3273461,2418597,16.8,9.1,27.2
30人以上,TL 調査産業計,令和５,2023,9月,5688381,3286228,2402153,89459,42597,46862,83992,40667,43325,5693848,3288158,2405690,16.7,9,27.3
30人以上,TL 調査産業計,令和５,2023,10月,5695701,3266487,2429214,113621,61508,52113,103249,49761,53488,5706073,3278234,2427839,18,9.9,29
30人以上,TL 調査産業計,令和５,2023,11月,5711952,3280035,2431917,87658,40939,46719,73937,36437,37500,5725673,3284537,2441136,17.2,9.3,27.9
30人以上,TL 調査産業計,令和５,2023,12月,5725672,3280145,2445527,70557,32672,37885,64275,31187,33088,5731954,3281630,2450324,17.2,9.5,27.6
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,1393,1032,360,31,24,7,35,27,8,1389,1029,359,0.1,－,0.3
30人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,1381,1073,309,26,21,5,29,25,4,1378,1069,310,0.9,1.1,－
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,年平均,1460,1129,331,30,25,6,22,18,4,1468,1136,333,0.9,1.2,0.2
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,年平均,1464,1086,378,18,14,4,25,20,5,1457,1080,377,1.1,1.1,0.9
30人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,年平均,1334,988,346,25,21,4,38,31,7,1321,978,343,0.5,0.6,0.5
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,年平均,1261,951,310,31,24,7,28,24,5,1264,951,312,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,1月,1267,971,296,14,13,1,38,33,5,1243,951,292,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,2月,1243,951,292,22,17,5,17,13,4,1248,955,293,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,3月,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,4月,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,5月,1266,957,309,22,16,6,31,26,5,1257,947,310,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,6月,1258,943,315,27,18,9,17,12,5,1268,949,319,－,－,－
