規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.6,156.3,140.4,15.9,12.7,84.6,81,3.6
100～499人,18.6,158.8,143.9,14.9,14.1,93.3,89.7,3.6
100人以上,18.6,157.6,142.2,15.4,13.6,90,86.4,3.6
30～99人,18.1,153.6,140.7,12.9,12.5,75.9,73.5,2.4
５～29人,19,157,147,10,11.5,68.2,66.2,2
30人以上,18.5,156.4,141.7,14.7,13.1,83.9,80.8,3.1
５人以上,18.6,156.6,143,13.6,12.3,75.9,73.4,2.5
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年８月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
