産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.62,1.71,1.28,1.54
"鉱業,採石業,砂利採取業",2.13,1.73,2.13,1.73
建設業,0.76,1.03,1.09,1.18
製造業,0.54,0.83,0.5,0.7
電気・ガス・熱供給・水道業,0.39,0.72,0.51,0.45
情報通信業,0.9,1.54,0.93,1.45
"運輸業,郵便業",1.1,1.19,0.97,1.22
"卸売業,小売業",1.55,1.29,1.13,1.11
"金融業,保険業",0.59,1.03,0.67,1.02
"不動産業,物品賃貸業",1.53,1.03,0.84,0.85
"学術研究,専門・技術サービス業",1.18,1.46,1.34,1.53
"宿泊業,飲食サービス業",4.59,4.13,3.42,3.87
"生活関連サービス業,娯楽業",2.42,1.85,1.61,1.88
"教育,学習支援業",1.85,2.71,1.31,2.99
"医療,福祉",1.62,1.57,1.58,1.21
複合サービス事業,0.38,0.41,0.61,0.67
サービス業（他に分類されないもの）,1.78,2.12,1.85,2.21
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年８月分,,,,
第４表  規模、産業別労働異動率,,,,
