事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成30,2018,年平均,102.1,－,97.6,102.2,99.8,98.7,115.6,107.8,99.4,104,101.8,119.1,93,104.4,99.4,112.1,96.1
５人以上,平成31・令和元,2019,年平均,101.4,－,103.8,102.2,103.1,100.8,119.2,100.6,99.3,100.9,105.2,110,95,99,96.2,103.1,102.2
５人以上,令和２,2020,年平均,100,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,令和３,2021,年平均,101.2,－,97.5,99.6,105.9,101.2,98.8,102.1,91.4,107.8,96.8,109.3,102.4,98.7,105.2,102.9,103.9
５人以上,令和４,2022,年平均,101.1,92.7,103.3,96.2,92.6,99.3,105.8,103.1,90.6,111.9,100.9,130.9,104.7,108.8,97.2,95.8,97.9
５人以上,令和５,2023,年平均,99.2,110,99.9,96.2,97.5,96.1,114.7,99.2,85.1,109.2,98.5,128.5,104.1,103.7,99.2,99,100.1
５人以上,令和５,2023,1月,81.7,70.2,77.5,77.2,86.6,76.6,98.2,78.3,70,86.5,82.5,126.4,91.3,81.5,88.3,74.8,87.6
５人以上,令和５,2023,2月,80.6,71.5,77.2,76,85.4,74.8,93.6,79,74,84,77.1,124.4,91.4,78.1,84.4,76,86.6
５人以上,令和５,2023,3月,91.4,×,99.5,91.4,×,84.9,100.4,89.2,76.7,87.9,98,142.6,92.8,95.4,90.2,77.8,95
５人以上,令和５,2023,4月,87.3,×,83.1,77,×,86.2,110.9,85.2,68.2,96.3,88.4,127,102.6,89,94,82,88.9
５人以上,令和５,2023,5月,86.2,73.2,79.5,80,73.5,80.2,98.5,81.1,96,87.3,89.6,122.9,96.6,83.1,85.8,84.2,90.6
５人以上,令和５,2023,6月,153.6,332.5,166.1,152.9,172.6,166,178.4,132,157.5,192.4,155.4,128.4,143.1,180.6,148.4,200.6,143.2
５人以上,令和５,2023,7月,108,73,113.1,111,79.3,93.1,115,132.4,73.1,125.7,100.2,139.8,102.6,95.6,103.7,80.8,104.3
５人以上,令和５,2023,8月,81.1,73,80.1,78.2,74.6,75.7,93.2,80.9,62.4,83.7,81.3,122.3,96.7,79.5,86,74.6,88.5
５人以上,令和５,2023,9月,83,72.7,80.6,75.8,75,81.2,95.6,84.5,67.8,83.9,86.2,117.8,92.6,80,84.5,73.6,86.8
５人以上,令和５,2023,10月,80.5,73.2,80.4,74.1,76.8,79.9,91.7,78.8,62.5,83.2,86.2,121.7,93.3,81.5,78.9,83.8,87
５人以上,令和５,2023,11月,83.9,118.1,80.6,81,74.5,81.8,98.5,84.4,64.3,85.6,79.7,119.6,95.4,96,87.2,81.8,87.4
５人以上,令和５,2023,12月,172.4,213.8,180.7,179.4,202.5,171.2,202,184.5,148,212.9,156.5,148.5,150.8,203.2,159.5,196.9,154.6
５人以上,平成31・令和元,2019,年平均（前年比（％））,-0.6,－,6.5,0,3.3,2.2,3.1,-6.7,-0.1,-3,3.3,-7.7,2.2,-5.1,-3.3,-8,6.3
５人以上,令和２,2020,年平均（前年比（％））,-1.3,－,-3.6,-2,-2.9,-0.8,-16,-0.5,0.8,-0.8,-4.8,-9,5.4,1.1,4.1,-3,-2
５人以上,令和３,2021,年平均（前年比（％））,1.2,－,-2.5,-0.4,5.9,1.2,-1.2,2.1,-8.6,7.8,-3.2,9.3,2.4,-1.3,5.2,2.9,3.9
５人以上,令和４,2022,年平均（前年比（％））,-0.1,－,5.9,-3.4,-12.6,-1.9,7.1,1,-0.9,3.8,4.2,19.8,2.2,10.2,-7.6,-6.9,-5.8
５人以上,令和５,2023,年平均（前年比（％））,-1.9,18.7,-3.3,0,5.3,-3.2,8.4,-3.8,-6.1,-2.4,-2.4,-1.8,-0.6,-4.7,2.1,3.3,2.2
５人以上,令和５,2023,1月（前年同月比（％））,-3.2,0,-4.1,0,17.8,-6.5,9.7,-4.9,-4,-14.7,-3.2,0.5,-4.6,-3.4,1.1,-1.1,-0.9
５人以上,令和５,2023,2月（前年同月比（％））,-2.7,1.1,-4.1,-6.5,15.9,-5.9,8.6,-3.3,0.3,-7,-7.2,4.5,-1.7,-5.3,1.4,3.5,0.2
５人以上,令和５,2023,3月（前年同月比（％））,-0.7,×,5.4,1.8,×,-3.1,0,-1.2,-8.4,-4.6,-2.9,11.1,-3.9,1,1.7,1.3,3.7
５人以上,令和５,2023,4月（前年同月比（％））,-0.9,×,-1.3,-2.8,×,-2,19.4,-3.1,-9.8,-1.7,-2.4,0.1,0.1,-9.5,11.6,0.7,2.2
５人以上,令和５,2023,5月（前年同月比（％））,-0.2,3.1,-0.9,-0.5,0.4,-1.7,9,-3.7,10.5,-5,-1.8,-5.6,-0.4,-2.9,4.4,10.1,-0.3
