産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.93,1.71,1.57,1.48
"鉱業,採石業,砂利採取業",2.04,1.57,2.04,1.57
建設業,1.04,0.92,0.84,0.89
製造業,0.89,0.84,0.67,0.64
電気・ガス・熱供給・水道業,0.84,0.69,0.61,0.41
情報通信業,1.16,1.15,0.98,1
"運輸業,郵便業",1.14,1.42,1.23,1.44
"卸売業,小売業",1.48,1.59,0.98,1.15
"金融業,保険業",0.68,1,0.77,0.9
"不動産業,物品賃貸業",1.2,1.04,1.24,0.95
"学術研究,専門・技術サービス業",1.8,1.15,2.16,1.12
"宿泊業,飲食サービス業",5.69,4.31,5.27,4.57
"生活関連サービス業,娯楽業",1.67,1.89,1.06,1.95
"教育,学習支援業",2.96,1.97,2.74,2.19
"医療,福祉",1.7,1.97,1.44,2.09
複合サービス事業,1.05,0.79,0.48,0.49
サービス業（他に分類されないもの）,2.56,1.86,2.61,1.89
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年９月分,,,,
第４表  規模、産業別労働異動率,,,,
