規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,505432,473365,433544,39821,32067,145535,142832,135261,7571,2703
100～499人,441033,417360,387007,30353,23673,151588,149107,143711,5396,2481
100人以上,473224,445355,410269,35086,27869,149160,146590,140322,6268,2570
30～99人,391369,382596,356450,26146,8773,106462,105966,102236,3730,496
５～29人,362085,349576,331902,17674,12509,94227,93460,90895,2565,767
30人以上,448997,426780,394340,32440,22217,129578,127959,122855,5104,1619
５人以上,429178,409175,380103,29072,20003,111183,110008,106225,3783,1175
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年１月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
