規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.6,19.1,17.8,153.2,161.1,141.9,138.1,143.6,130.2,15.1,17.5,11.7
100～499人,18.6,19.2,17.8,153.7,164,139.1,139.9,147.2,129.6,13.8,16.8,9.5
100人以上,18.6,19.1,17.8,153.4,162.6,140.4,139,145.4,129.9,14.4,17.2,10.5
30～99人,17.8,18.7,16.7,142.8,157.3,125.4,130.8,141.6,117.8,12,15.7,7.6
５～29人,16.5,17.9,15.2,124.4,143.6,106.8,117.3,133.1,102.8,7.1,10.5,4
30人以上,18.3,19,17.4,150.1,160.9,135.2,136.4,144.2,125.7,13.7,16.7,9.5
５人以上,17.8,18.7,16.7,142.4,156.4,125.5,130.7,141.3,117.9,11.7,15.1,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年７月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
