産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
調査産業計,718514,5.2,77.4,83.4,1.47,0.14
鉱業，採石業，砂利採取業,2247872,30.3,100,100,3.34,-0.08
建設業,819014,-12.1,89.1,96.3,1.79,0
製造業,905154,0.9,75.3,84.4,1.63,0.09
電気・ガス・熱供給・水道業,1054419,5.3,77.5,75.3,2.29,0.27
情報通信業,808651,0.6,79.4,85.3,1.75,0
運輸業，郵便業,625331,17.1,77.2,83.1,1.45,0.25
卸売業，小売業,869742,4.2,70.3,79.1,1.6,0.13
"金融業,保険業",1082007,5.6,82.3,90.6,2.34,-0.05
不動産業，物品賃貸業,967857,16,71.6,85.5,1.77,-0.06
学術研究，専門・技術サービス業,840780,-3.1,79.2,88.3,1.49,-0.02
宿泊業，飲食サービス業,135694,-1.2,63.2,67.6,0.46,0.05
生活関連サービス業，娯楽業,391394,46.4,73.4,78.3,0.99,0.2
教育，学習支援業,654074,-1.5,92.9,95,1.87,0.29
医療，福祉,429960,29,88.2,70.8,1.05,0.17
複合サービス事業,527619,-23.2,100,100,1.73,0.12
サービス業（他に分類されないもの）,360406,6.4,74.1,81.5,1.26,0.15
,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年夏季,,,,,,
第21表  賞与の産業別支給状況（事業所規模30人以上）,,,,,,
注１）「１人平均支給額」は、賞与を支給した事業所における常用労働者１人当たりの平均賞与支給額です。,,,,,,
　２）「支給事業所数割合」は、賞与を支給した事業所数を全事業所数で除した値です。,,,,,,
　３）「支給労働者数割合」は、賞与を支給した事業所の全常用労働者数を全事業所の全常用労働者数で除した値です。,,,,,,
　４）「平均支給月数」は、賞与を支給した各事業所における賞与の所定内給与に対する割合を単純平均したものです。,,,,,,
