規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,478256,561733,356633,447259,521652,338871,411479,35780,30997,40081,17762
100～499人,403828,475658,300740,384648,451446,288782,356622,28026,19180,24212,11958
100人以上,440248,517910,327966,415286,485908,313181,383466,31820,24962,32002,14785
30～99人,337721,400179,261713,324823,383143,253851,304319,20504,12898,17036,7862
５～29人,259944,336332,190594,248826,320482,183771,238078,10748,11118,15850,6823
30人以上,407376,482036,305282,386282,454595,292867,358090,28192,21094,27441,12415
５人以上,363291,444147,265586,345180,419720,255107,322204,22976,18111,24427,10479
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年９月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
