規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,8006205,4416164,3590041,121897,58398,63499,141135,62217,78918,7986967,4412345,3574622,23.8,14.1,35.9
５人以上,"鉱業,採石業,砂利採取業",1267,971,296,14,13,1,38,33,5,1243,951,292,ー,ー,ー
５人以上,建設業,401512,321935,79577,3019,2612,407,3939,3218,721,400592,321329,79263,4.1,2.8,9.3
５人以上,製造業,456602,320864,135738,11169,7453,3716,4618,3000,1618,463153,325317,137836,8.2,3.1,20.2
５人以上,電気・ガス・熱供給・水道業,20948,17365,3583,86,84,2,163,146,17,20871,17303,3568,2.7,2.5,3.6
５人以上,情報通信業,887142,625732,261410,7673,4765,2908,11443,7236,4207,883372,623261,260111,5.4,1.9,13.7
５人以上,"運輸業,郵便業",410132,304859,105273,3372,1944,1428,4410,2060,2350,409094,304743,104351,10.8,9.1,15.7
５人以上,"卸売業,小売業",1682062,901646,780416,18586,9223,9363,26819,11089,15730,1673829,899780,774049,25.7,13.2,40.3
５人以上,"金融業,保険業",394435,193493,200942,5361,3213,2148,6266,3414,2852,393530,193292,200238,6.8,1.6,11.9
５人以上,"不動産業,物品賃貸業",249833,158883,90950,2615,1229,1386,2394,1305,1089,250054,158807,91247,13,9.3,19.3
５人以上,"学術研究,専門・技術サービス業",421824,240164,181660,5434,2501,2933,5530,2984,2546,421728,239681,182047,7.4,4,11.8
５人以上,"宿泊業,飲食サービス業",696470,297539,398931,25904,8882,17022,31201,13223,17978,691173,293198,397975,74.9,61.8,84.5
５人以上,"生活関連サービス業,娯楽業",231837,107918,123919,6886,3485,3401,7564,2008,5556,231159,109395,121764,40.9,37.1,44.2
５人以上,"教育,学習支援業",397640,198643,198997,5408,3245,2163,6127,1990,4137,396921,199898,197023,37.1,28.6,45.7
５人以上,"医療,福祉",796451,220743,575708,9275,2488,6787,12357,2834,9523,793369,220397,572972,33.1,29.3,34.6
５人以上,複合サービス事業,28343,17219,11124,94,25,69,70,42,28,28367,17202,11165,15.1,6.8,27.8
５人以上,サービス業（他に分類されないもの）,929707,488190,441517,17001,7236,9765,18196,7635,10561,928512,487791,440721,22.7,14.6,31.7
30人以上,調査産業計,5621214,3262713,2358501,79248,40630,38618,91005,42099,48906,5609457,3261244,2348213,16.2,9.2,26
30人以上,"鉱業,採石業,砂利採取業",1267,971,296,14,13,1,38,33,5,1243,951,292,ー,ー,ー
30人以上,建設業,262130,208946,53184,1964,1557,407,1851,1417,434,262243,209086,53157,1.8,1,4.8
30人以上,製造業,329391,238182,91209,9446,6153,3293,3098,1961,1137,335739,242374,93365,5.6,2.3,14.3
30人以上,電気・ガス・熱供給・水道業,17024,14044,2980,30,28,2,109,92,17,16945,13980,2965,2.1,2,2.5
30人以上,情報通信業,794063,562653,231410,6540,4011,2529,9342,6391,2951,791261,560273,230988,4.9,1.4,13.6
30人以上,"運輸業,郵便業",343969,250595,93374,2945,1517,1428,3747,1648,2099,343167,250464,92703,10,8.2,14.9
30人以上,"卸売業,小売業",1076452,631834,444618,12544,6910,5634,14537,7675,6862,1074459,631069,443390,15.7,7.7,27.1
30人以上,"金融業,保険業",324523,165370,159153,4189,2345,1844,4868,2604,2264,323844,165111,158733,6.6,1.7,11.6
30人以上,"不動産業,物品賃貸業",177925,113760,64165,1673,936,737,1709,1048,661,177889,113648,64241,10.9,8.9,14.5
30人以上,"学術研究,専門・技術サービス業",309471,177766,131705,4747,2354,2393,4528,2248,2280,309690,177872,131818,4.8,2.3,8.3
30人以上,"宿泊業,飲食サービス業",235494,107444,128050,5812,1975,3837,13737,4946,8791,227569,104473,123096,60.6,45.1,73.7
30人以上,"生活関連サービス業,娯楽業",118871,57009,61862,4032,2380,1652,2440,946,1494,120463,58443,62020,40.8,33.3,47.9
30人以上,"教育,学習支援業",304659,155645,149014,2782,1671,1111,4390,1811,2579,303051,155505,147546,30,21.9,38.5
30人以上,"医療,福祉",513338,160907,352431,5867,1767,4100,9051,2264,6787,510154,160410,349744,25.9,25.5,26.1
30人以上,複合サービス事業,17167,12186,4981,44,25,19,70,42,28,17141,12169,4972,13.3,7.7,27.1
30人以上,サービス業（他に分類されないもの）,795470,405401,390069,16619,6988,9631,17490,6973,10517,794599,405416,389183,22.2,14,30.8
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年１月分,,,,,,,,,,,,,,,,
第３表  規模、産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
