規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19,160.7,143.5,17.2,12.6,82.8,79.4,3.4
100～499人,19.3,164.9,148.7,16.2,14.4,94.6,90,4.6
100人以上,19.2,162.8,146.1,16.7,13.7,90.2,86,4.2
30～99人,19.1,161.8,147.2,14.6,12.7,75.7,73.5,2.2
５～29人,20,166,155.2,10.8,11.4,66,64.1,1.9
30人以上,19.1,162.5,146.4,16.1,13.3,83.8,80.5,3.3
５人以上,19.3,163.3,148.4,14.9,12.3,74.7,72.1,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年11月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
