産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
調査産業計,649700,2.4,75.2,84.1,1.51,0.1
鉱業，採石業，砂利採取業,1266103,-12.5,100,100,1.7,-0.76
建設業,957008,10.5,81.7,89.2,1.99,0.1
製造業,826223,11.5,83.1,90.4,1.49,0.17
電気・ガス・熱供給・水道業,977093,5,85.5,84.7,2.14,0.02
情報通信業,751899,-1.6,83.3,86.2,1.82,0.14
運輸業，郵便業,499649,17.3,74.9,80.8,1.2,0.06
卸売業，小売業,859643,23.1,75,83.5,1.72,0.28
"金融業,保険業",949112,-2.9,90.9,93.9,2.12,0.09
不動産業，物品賃貸業,866412,13.7,74.3,88.9,1.99,0.29
学術研究，専門・技術サービス業,671899,10,84.6,86.5,1.46,-0.02
宿泊業，飲食サービス業,179588,92.3,57.6,64,0.52,0.09
生活関連サービス業，娯楽業,389142,65.5,55.1,66.1,1.08,0.52
教育，学習支援業,701274,4.4,84.8,90.9,1.93,0.07
医療，福祉,450279,-12,75.5,87.2,1.32,-0.33
複合サービス事業,563632,-3.9,100,100,1.82,0.15
サービス業（他に分類されないもの）,243571,-31.9,68.8,79.1,1.09,-0.01
,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年冬季,,,,,,
第21表  賞与の産業別支給状況（事業所規模30人以上）,,,,,,
注１）「１人平均支給額」は、賞与を支給した事業所における常用労働者１人当たりの平均賞与支給額です。,,,,,,
　２）「支給事業所数割合」は、賞与を支給した事業所数を全事業所数で除した値です。,,,,,,
　３）「支給労働者数割合」は、賞与を支給した事業所の全常用労働者数を全事業所の全常用労働者数で除した値です。,,,,,,
　４）「平均支給月数」は、賞与を支給した各事業所における賞与の所定内給与に対する割合を単純平均したものです。,,,,,,
