規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,491632,472009,432091,39918,19623,141414,139869,132608,7261,1545
100～499人,439000,420615,389291,31324,18385,152927,152172,145951,6221,755
100人以上,465678,446666,410986,35680,19012,148705,147660,141057,6603,1045
30～99人,376549,371057,345726,25331,5492,106295,105754,102099,3655,541
５～29人,363460,354560,337008,17552,8900,96277,95616,93149,2467,661
30人以上,438727,423803,391252,32551,14924,130827,129995,124635,5360,832
５人以上,421496,407951,378834,29117,13545,113251,112506,108618,3888,745
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年２月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
