産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.3,2.03,1.99,1.81
"鉱業,採石業,砂利採取業",2.19,2.11,2.19,2.11
建設業,1.71,1.37,1.75,1.49
製造業,1.44,1.02,1.31,1.02
電気・ガス・熱供給・水道業,0.42,0.33,0.55,0.44
情報通信業,1.13,1.27,1.08,1.29
"運輸業,郵便業",2.52,1.5,2.57,1.69
"卸売業,小売業",1.76,1.49,1.38,1.46
"金融業,保険業",1.53,1.97,1.57,2
"不動産業,物品賃貸業",1.69,2.26,1.57,1.31
"学術研究,専門・技術サービス業",2.33,1.72,2.12,1.71
"宿泊業,飲食サービス業",6.58,4.79,6.66,2.73
"生活関連サービス業,娯楽業",1.95,2.32,2.01,2.38
"教育,学習支援業",2.8,1.72,3.23,1.84
"医療,福祉",2.05,2.98,1.84,3.44
複合サービス事業,0.88,1.32,0.61,0.87
サービス業（他に分類されないもの）,2.36,2.02,2.44,2.04
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年10月分,,,,
第４表  規模、産業別労働異動率,,,,
