規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,474863,555298,356653,449882,524377,340402,411450,38432,24981,30921,16251
100～499人,409824,481662,311438,391737,462361,295013,360796,30941,18087,19301,16425
100人以上,441611,518188,333070,420155,493123,316728,385553,34602,21456,25065,16342
30～99人,356461,416922,283230,322203,382348,249356,300715,21488,34258,34574,33874
５～29人,268811,344184,199775,249052,320654,183469,237397,11655,19759,23530,16306
30人以上,414261,487145,316077,388693,459165,293758,358303,30390,25568,27980,22319
５人以上,370614,449526,276026,346789,422717,255778,322021,24768,23825,26809,20248
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年11月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
