規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18,18.3,17.5,148.4,154.9,139.1,133.9,138.2,127.7,14.5,16.7,11.4
100～499人,17.8,18.3,17.3,147.7,156.6,135.5,134.7,140.8,126.4,13,15.8,9.1
100人以上,17.9,18.3,17.4,148.1,155.7,137.2,134.3,139.5,127,13.8,16.2,10.2
30～99人,16.8,17.7,15.8,136,148.3,120.9,125.5,134.6,114.3,10.5,13.7,6.6
５～29人,15.9,17.2,14.7,120.5,138.2,103.9,113.8,128.3,100.2,6.7,9.9,3.7
30人以上,17.6,18.1,16.8,144.2,153.4,131.7,131.5,138,122.7,12.7,15.4,9
５人以上,17.1,17.9,16.1,137.1,149.4,122.2,126.2,135.4,115,10.9,14,7.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年８月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
