規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.7,18.1,17.1,146.7,153.7,136.6,132.1,136.9,125.2,14.6,16.8,11.4
100～499人,18.1,18.5,17.4,150.4,159.6,137.1,136.5,143,127.1,13.9,16.6,10
100人以上,17.9,18.3,17.2,148.5,156.7,136.9,134.3,140,126.2,14.2,16.7,10.7
30～99人,17.6,18.4,16.7,141.2,153.5,126.2,129.9,139.1,118.7,11.3,14.4,7.5
５～29人,16.4,17.9,15,123.3,142.8,105.6,116.7,133,101.9,6.6,9.8,3.7
30人以上,17.8,18.3,17.1,146.2,155.7,133.2,132.9,139.7,123.6,13.3,16,9.6
５人以上,17.4,18.2,16.4,139.4,152.4,123.7,128.1,138,116.1,11.3,14.4,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年９月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
