産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.86,1.54,1.53,1.29
"鉱業,採石業,砂利採取業",2.5,1.56,2.5,1.56
建設業,0.98,0.84,0.94,0.85
製造業,0.79,0.66,0.6,0.63
電気・ガス・熱供給・水道業,0.16,0.23,0.21,0.3
情報通信業,2.41,0.89,2.48,0.89
"運輸業,郵便業",1.27,1.28,0.98,1.08
"卸売業,小売業",1.41,1.19,0.96,1.09
"金融業,保険業",0.72,1.08,0.63,0.95
"不動産業,物品賃貸業",1.27,1.07,1.34,0.91
"学術研究,専門・技術サービス業",1.41,1.02,1.34,1.12
"宿泊業,飲食サービス業",4.75,4.53,3.96,3.65
"生活関連サービス業,娯楽業",3.43,1.99,1.68,1.56
"教育,学習支援業",1.86,1.66,1.93,1.21
"医療,福祉",1.44,1.18,1.06,0.99
複合サービス事業,0.21,0.41,0.34,0.66
サービス業（他に分類されないもの）,2.01,2.07,2.14,2.31
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年11月分,,,,
第４表  規模、産業別労働異動率,,,,
