規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,460892,537650,349049,446386,520548,338325,410209,36177,14506,17102,10724
100～499人,392869,464210,294792,381448,450609,286368,353186,28262,11421,13601,8424
100人以上,426129,500561,320860,413200,485227,311331,381068,32132,12929,15334,9529
30～99人,328786,388430,255452,321555,378643,251363,301020,20535,7231,9787,4089
５～29人,259916,334744,189895,250321,320501,184650,238833,11488,9595,14243,5245
30人以上,394879,466023,298711,383779,452398,291024,355370,28409,11100,13625,7687
５人以上,354679,431502,261701,344027,417714,254845,320658,23369,10652,13788,6856
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年８月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
