規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17.6,149.8,132.9,16.9,12.1,80,76.5,3.5
100～499人,18.3,156.8,140.9,15.9,14.1,91.2,87.4,3.8
100人以上,17.9,153.2,136.8,16.4,13.4,87.1,83.4,3.7
30～99人,18.1,154.8,139.9,14.9,12.3,71.3,69.3,2
５～29人,19.5,159.7,149.5,10.2,11.5,67.3,65.4,1.9
30人以上,18,153.8,137.8,16,12.9,80.5,77.5,3
５人以上,18.3,155.1,140.5,14.6,12.2,73.8,71.4,2.4
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年２月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
