規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1283716,486937,446032,40905,796779,168254,147160,140109,7051,21094
100～499人,1028275,437102,403226,33876,591173,175863,159285,152884,6401,16578
100人以上,1157484,462310,424878,37432,695174,172987,154702,148055,6647,18285
30～99人,845718,387539,361103,26436,458179,141499,120585,116242,4343,20914
５～29人,642676,359463,339778,19685,283213,104774,98590,96075,2515,6184
30人以上,1065215,440181,406004,34177,625034,159104,139659,134028,5631,19445
５人以上,968248,421657,390805,30852,546591,131110,118498,114473,4025,12612
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年12月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
