規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,701784,484004,443809,40195,217780,155826,151194,143798,7396,4632
100～499人,596455,430726,397225,33501,165729,164155,158369,151844,6525,5786
100人以上,649831,457725,420832,36893,192106,160980,155634,148777,6857,5346
30～99人,516026,383248,356415,26833,132778,121141,118561,114449,4112,2580
５～29人,491516,358564,339403,19161,132952,100301,96754,94497,2257,3547
30人以上,610328,435737,401814,33923,174591,143240,139125,133490,5635,4115
５人以上,583032,418007,387475,30532,165025,121358,117532,113618,3914,3826
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年７月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
