産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.09,2.01,1.93,1.79
"鉱業,採石業,砂利採取業",1.5,1.42,1.5,1.42
建設業,1.03,1.33,1.32,1.64
製造業,0.73,1.02,0.75,1.07
電気・ガス・熱供給・水道業,4.99,5.29,1.19,1.58
情報通信業,1.34,1.88,1.37,1.85
"運輸業,郵便業",1.53,1.77,1.6,1.92
"卸売業,小売業",1.38,1.81,1.21,1.62
"金融業,保険業",1.64,1.97,1.28,1.73
"不動産業,物品賃貸業",1.64,1.53,1.1,1.16
"学術研究,専門・技術サービス業",1.89,1.81,2.27,2.02
"宿泊業,飲食サービス業",4.75,4.14,4.9,4.04
"生活関連サービス業,娯楽業",2.72,5.23,2.26,2.98
"教育,学習支援業",1.97,1.13,1.77,1.27
"医療,福祉",2.01,1.51,1.59,1.35
複合サービス事業,0.76,0.72,0.75,0.86
サービス業（他に分類されないもの）,3.83,1.98,4.08,2.04
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年７月分,,,,
第４表  規模、産業別労働異動率,,,,
