規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.2,161.5,144.9,16.6,13,84.8,81.4,3.4
100～499人,19.4,165.1,149.3,15.8,14.6,96.8,93,3.8
100人以上,19.3,163.3,147.1,16.2,14,92.2,88.6,3.6
30～99人,19.2,162.7,147.8,14.9,13.1,77.5,75.1,2.4
５～29人,20,164.9,154.1,10.8,11.6,67.2,65.3,1.9
30人以上,19.3,163.1,147.3,15.8,13.6,85.7,82.6,3.1
５人以上,19.5,163.6,148.9,14.7,12.6,76.3,73.8,2.5
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年７月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
