規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.4,18.8,17.7,152.4,159.5,141.8,136.6,141.4,129.4,15.8,18.1,12.4
100～499人,18.4,19,17.6,152.5,162.7,138.4,138.3,145.6,128.2,14.2,17.1,10.2
100人以上,18.4,18.9,17.7,152.4,161.2,139.9,137.4,143.6,128.7,15,17.6,11.2
30～99人,17.7,18.6,16.7,140.8,154.2,124.8,129.4,139.7,117.1,11.4,14.5,7.7
５～29人,16.3,17.9,14.9,123.1,142.4,105.2,116.1,132.2,101.2,7,10.2,4
30人以上,18.2,18.8,17.3,148.7,159.1,134.7,134.9,142.4,124.7,13.8,16.7,10
５人以上,17.6,18.6,16.5,141,154.7,124.7,129.2,139.7,116.7,11.8,15,8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年10月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
