規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.3,18.8,17.5,152.2,159.7,141,136.5,141.9,128.5,15.7,17.8,12.5
100～499人,18.5,19,17.7,152.7,163,138.6,138.5,145.9,128.4,14.2,17.1,10.2
100人以上,18.4,18.9,17.6,152.4,161.4,139.7,137.5,143.9,128.4,14.9,17.5,11.3
30～99人,17.6,18.5,16.4,141.6,155.4,125,129.9,140.9,116.7,11.7,14.5,8.3
５～29人,16.4,17.9,15,123.7,143.2,105.8,116.6,132.8,101.8,7.1,10.4,4
30人以上,18.1,18.8,17.2,149,159.6,134.7,135.1,143,124.4,13.9,16.6,10.3
５人以上,17.6,18.6,16.5,141.3,155.2,124.7,129.5,140.3,116.6,11.8,14.9,8.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年11月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
