規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,453008,529855,337578,435379,507930,326402,399062,36317,17629,21925,11176
100～499人,387409,460630,285453,372204,440652,276893,345407,26797,15205,19978,8560
100人以上,419316,494837,310223,402932,473897,300420,371505,31427,16384,20940,9803
30～99人,316115,378116,243058,311730,373056,239469,291246,20484,4385,5060,3589
５～29人,251566,318854,187833,246116,313332,182452,234882,11234,5450,5522,5381
30人以上,386005,459381,286818,373494,443265,279180,345599,27895,12511,16116,7638
５人以上,346017,422313,253327,335606,408991,246453,312667,22939,10411,13322,6874
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
