規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17,17.5,16.4,142.3,148.7,132.4,127.4,131.7,120.8,14.9,17,11.6
100～499人,17.2,17.6,16.6,142.9,151.6,130.6,129.3,135.2,121,13.6,16.4,9.6
100人以上,17.1,17.6,16.5,142.6,150.2,131.5,128.4,133.5,120.9,14.2,16.7,10.6
30～99人,16.3,17.1,15.4,132.6,144.3,117.8,121.3,129.9,110.4,11.3,14.4,7.4
５～29人,15.1,16.3,13.9,114,130.8,98.4,107.3,121.1,94.4,6.7,9.7,4
30人以上,16.9,17.4,16.1,139.4,148.4,126.8,126.1,132.4,117.3,13.3,16,9.5
５人以上,16.3,17.1,15.3,131.8,143.8,117.1,120.5,129.4,109.5,11.3,14.4,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
