規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,480735,561333,362028,451370,525403,342333,413743,37627,29365,35930,19695
100～499人,392500,464049,293712,384110,453722,287996,355602,28508,8390,10327,5716
100人以上,435680,512305,326496,417025,489278,314072,384055,32970,18655,23027,12424
30～99人,324797,388969,247870,313539,374770,240136,294779,18760,11258,14199,7734
５～29人,256135,329341,188517,248841,320259,182874,237281,11560,7294,9082,5643
30人以上,400112,474727,299570,383830,454390,288752,355418,28412,16282,20337,10818
５人以上,356965,436403,261473,343376,419033,252430,320014,23362,13589,17370,9043
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年10月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
