産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.52,1.76,1.41,1.62
"鉱業,採石業,砂利採取業",1.1,3,1.1,3
建設業,0.75,0.98,0.75,0.71
製造業,2.45,1.01,2.87,0.94
電気・ガス・熱供給・水道業,0.41,0.78,0.18,0.64
情報通信業,0.86,1.29,0.82,1.18
"運輸業,郵便業",0.82,1.08,0.86,1.09
"卸売業,小売業",1.1,1.59,1.17,1.35
"金融業,保険業",1.36,1.59,1.29,1.5
"不動産業,物品賃貸業",1.05,0.96,0.94,0.96
"学術研究,専門・技術サービス業",1.29,1.31,1.53,1.46
"宿泊業,飲食サービス業",3.72,4.48,2.47,5.83
"生活関連サービス業,娯楽業",2.97,3.26,3.39,2.05
"教育,学習支援業",1.36,1.54,0.91,1.44
"医療,福祉",1.16,1.55,1.14,1.76
複合サービス事業,0.33,0.25,0.26,0.41
サービス業（他に分類されないもの）,1.83,1.96,2.09,2.2
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年１月分,,,,
第４表  規模、産業別労働異動率,,,,
