産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.45,1.34,1.23,1.12
"鉱業,採石業,砂利採取業",1.62,1.16,1.62,1.16
建設業,0.59,0.8,0.54,0.78
製造業,0.73,0.68,0.57,0.57
電気・ガス・熱供給・水道業,0.74,0.23,0.97,0.3
情報通信業,0.7,0.71,0.6,0.68
"運輸業,郵便業",0.93,1.11,0.96,1.16
"卸売業,小売業",1.15,1.16,0.94,1.02
"金融業,保険業",0.61,0.71,0.59,0.71
"不動産業,物品賃貸業",0.55,0.88,0.7,0.6
"学術研究,専門・技術サービス業",1.17,0.97,1.21,1.1
"宿泊業,飲食サービス業",4.16,3.83,4.13,3.5
"生活関連サービス業,娯楽業",2.68,2.29,1.68,2.12
"教育,学習支援業",1.63,0.97,1.59,0.83
"医療,福祉",1.16,1.18,1.21,0.97
複合サービス事業,0.2,0.54,0.32,0.56
サービス業（他に分類されないもの）,2.22,1.66,2.25,1.72
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年12月分,,,,
第４表  規模、産業別労働異動率,,,,
