規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,519918,487313,446110,41203,32605,150926,148836,141305,7531,2090
100～499人,442144,432128,398870,33258,10016,156320,155668,149761,5907,652
100人以上,481732,460218,422916,37302,21514,154328,153144,146637,6507,1184
30～99人,396822,382097,358115,23982,14725,121903,120409,116357,4052,1494
５～29人,372460,360463,342102,18361,11997,97990,97089,94774,2315,901
30人以上,457231,437676,404218,33458,19555,139154,137825,132467,5358,1329
５人以上,437642,419833,389863,29970,17809,118470,117356,113527,3829,1114
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年10月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
