規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19,160.5,143.2,17.3,12.8,84.4,80.8,3.6
100～499人,19.3,164.4,148.2,16.2,14.5,96,91.4,4.6
100人以上,19.2,162.4,145.6,16.8,13.9,91.7,87.5,4.2
30～99人,19.3,162.5,147.9,14.6,13.3,79.6,77.2,2.4
５～29人,19.9,164.8,154,10.8,11.5,66.5,64.6,1.9
30人以上,19.2,162.4,146.3,16.1,13.6,86.1,82.7,3.4
５人以上,19.3,163,148.1,14.9,12.5,76.2,73.6,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年10月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
