規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,514797,487047,444801,42246,27750,150747,148245,140765,7480,2502
100～499人,462662,441582,405421,36161,21080,158968,155089,148930,6159,3879
100人以上,489119,464654,425405,39249,24465,155876,152515,145859,6656,3361
30～99人,429214,385335,358444,26891,43879,119029,116171,112317,3854,2858
５～29人,394264,360645,342111,18534,33619,98137,97234,94938,2296,903
30人以上,471329,441098,405519,35579,30231,139748,136607,131178,5429,3141
５人以上,453615,422605,390944,31661,31010,118382,116390,112570,3820,1992
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年11月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
