産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.69,1.87,1.26,1.49
"鉱業,採石業,砂利採取業",1.77,1.37,1.77,1.37
建設業,0.86,0.83,0.58,0.84
製造業,0.8,1.11,0.69,0.9
電気・ガス・熱供給・水道業,0.68,0.25,0.2,0.31
情報通信業,0.91,1.19,0.73,1.09
"運輸業,郵便業",1.39,1.42,1.39,1.41
"卸売業,小売業",1.43,1.84,1,1.44
"金融業,保険業",1.04,0.96,1.1,0.86
"不動産業,物品賃貸業",1.26,1.27,0.96,1.08
"学術研究,専門・技術サービス業",1.65,1.02,1.74,1.23
"宿泊業,飲食サービス業",5.45,5.16,4.31,4.02
"生活関連サービス業,娯楽業",2.57,2.99,1.58,2.85
"教育,学習支援業",1.32,2.11,0.94,1.79
"医療,福祉",1.17,1.57,0.8,1.14
複合サービス事業,0.74,1.08,0.83,0.82
サービス業（他に分類されないもの）,1.91,1.98,2.04,2.14
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年２月分,,,,
第４表  規模、産業別労働異動率,,,,
