Ｎｏ．,局,指摘歳入,指摘歳出,指摘財産,指摘その他,指摘計,意見要望,合計,合計うち重点監査事項
1,青少年・治安対策本部,,1,,,1,,1,1
2,総務局,,4,,1,5,,5,4
3,主税局,12,,,,12,,12,9
4,生活文化局,,4,,,4,3,7,4
5,オリンピック・パラリンピック準備局,,1,,,1,,1,1
6,都市整備局,1,4,,,5,,5,2
7,環境局,,7,,,7,,7,4
8,福祉保健局,5,9,1,1,16,1,17,5
9,病院経営本部,3,2,,2,7,,7,4
10,産業労働局,,1,,1,2,,2,1
11,中央卸売市場,3,,,1,4,1,5,2
12,建設局,,5,,,5,1,6,3
13,港湾局,1,7,1,1,10,,10,8
14,東京消防庁,,,,2,2,,2,
15,交通局,3,6,,,9,,9,2
16,水道局,2,5,,1,8,,8,3
17,下水道局,,11,,,11,2,13,12
18,教育庁,10,6,,16,32,,32,3
19,警視庁,,,,,,2,2,2
20,議会局,,2,,,2,,2,1
合計,,40,75,2,26,143,10,153,71
