設置主体,名称,郵便番号,住所,電話番号,ＦＡX番号
千代田区,千代田保健所,102-0073,千代田区九段北１－２－１４,03-5211-8161,03-5211-8190
中央区,中央区保健所,104-0044,中央区明石町１２－１,03-3541-5936,03-3546-9554
中央区,日本橋保健センター,103-0012,中央区日本橋堀留町１－１－１,03-3661-3515,03-3661-3503
中央区,月島保健センター,104-0052,中央区月島２－１０－３,03-5560-0765,03-5560-0747
中央区,晴海保健センター,104-0053,中央区晴海４－８－１　晴海区民センター５階,03-6381-2972,03-6381-2976
港区,みなと保健所,108-8315,港区三田１－４－１０,03-6400-0050,03-3455-4420
新宿区,新宿区保健所,160-0022,新宿区新宿５－１８－２１,03-3209-1111,03-5273-3820
新宿区,牛込保健センター,162-0805,新宿区矢来町６,03-3260-6231,03-3260-6223
新宿区,四谷保健センター,160-0008,新宿区四谷三栄町１０－１６,03-3351-5161,03-3351-5166
新宿区,東新宿保健センター,160-0022,新宿区新宿７－２６－４,03-3200-1026,03-3200-1027
新宿区,落合保健センター,161-0033,新宿区下落合４－６－７,03-3952-7161,03-3952-9943
文京区,文京保健所,112-8555,文京区春日１－１６－２１,03-5803-1223,03-5803-1386
文京区,保健サービスセンター,112-8555,文京区春日１－１６－２１,03-5803-1805,03-5803-1371
文京区,保健サービスセンター本郷支所,113-0022,文京区千駄木５－２０－１８,03-3821-5106,03-3822-9174
台東区,台東保健所,110-0015,台東区東上野４－２２－８,03-3847-9401,03-3841-4325
台東区,浅草保健相談センター,111-0033,台東区花川戸２－１１－１０,03-3844-8171,03-3844-8178
墨田区,墨田区保健所,130-8640,墨田区吾妻橋１－２３－２０,03-5608-1111,03-5608-6405
墨田区,向島保健センター,131-0032,墨田区東向島５－１６－２,03-3611-6135,03-3611-3113
墨田区,本所保健センター,130-0005,墨田区東駒形１－６－４,03-3622-9137,03-3623-2108
江東区,江東区保健所(健康推進課),135-0016,江東区東陽２－１－１,03-3647-9539,03-3615-7171
江東区,江東区保健所(生活衛生課),135-0016,江東区東陽２－１－１,03-3647-5844,03-3615-7171
江東区,江東区保健所(保健予防課),135-0016,江東区東陽２－１－１,03-3647-5906,03-3615-7171
江東区,城東保健相談所,136-0072,江東区大島３－１－３,03-3637-6521,03-3637-6651
江東区,城東南部保健相談所,136-0076,江東区南砂４－３－１０,03-5606-5001,03-5606-5006
江東区,深川保健相談所,135-0021,江東区白河３－４－３－３０１,03-3641-1181,03-3641-5557
江東区,深川南部保健相談所,135-0051,江東区枝川１－８－１５－１０２,03-5632-2291,03-5632-2295
品川区,品川区保健所,140-8715,品川区広町２－１－３６,03-5742-6744,03-5742-6883
品川区,品川保健センター,140-0001,品川区北品川３－１１－２２,03-3474-2000,03-3474-2034
品川区,大井保健センター,140-0014,品川区大井２－２７－２０,03-3772-2666,03-3772-2570
品川区,荏原保健センター,141-0031,品川区西五反田６－６－６,03-5487-1310,03-5487-1320
目黒区,目黒区保健所,153-8573,目黒区上目黒２－１９－１５,03-5722-9586,03-5722-9329
目黒区,碑文谷保健センター,152-0003,目黒区碑文谷４－１６－１８,03-3711-6446,03-5722-9330
大田区,大田区保健所（健康医療政策課）,144-8621,大田区蒲田５－１３－１４,03-5744-1262,03-5744-1523
大田区,大田区保健所(感染症対策課),144-8621,大田区蒲田５－１３－１４,03-5744-1263,03-5744-1524
大田区,大田区保健所（生活衛生課）,143-0015,大田区大森西１－１２－１,03-5764-0691,03-5764-0711
大田区,大田区保健所（健康づくり課）,144-8621,大田区蒲田５－１３－１４,03-5744-1661,03-5744-1523
大田区,大田区保健所（大森地域健康課）,143-0015,大田区大森西１－１２－１,03-5764-0661,03-5764-0659
大田区,大田区保健所（調布地域健康課）,145-0067,大田区雪谷大塚町４－６,03-3726-4145,03-3726-6331
