"年月[西暦]","調査項目","設問","事業所の従業者数","取組に関する情報が少ない[件]","担当できる人材がいない[件]","費用がかかる[件]","取組の必要性について社内理解が進まない[件]","ほかに優先すべき課題がある[件]","課題は特にない[件]","その他[件]","取組に関する情報が少ない[%]","担当できる人材がいない[%]","費用がかかる[%]","取組の必要性について社内理解が進まない[%]","ほかに優先すべき課題がある[%]","課題は特にない[%]","その他[%]"
"202003","環境に関する取組","Q6. 貴組織において環境に配慮した取組を進める上での課題は何ですか。（○はいくつでも）","1～4人","9","4","4","0","4","13","0","29.0","12.9","12.9","0.0","12.9","41.9","0.0"
"202003","環境に関する取組","Q6. 貴組織において環境に配慮した取組を進める上での課題は何ですか。（○はいくつでも）","5～9人","7","11","6","3","5","4","1","28.0","44.0","24.0","12.0","20.0","16.0","4.0"
"202003","環境に関する取組","Q6. 貴組織において環境に配慮した取組を進める上での課題は何ですか。（○はいくつでも）","10～19人","3","3","1","1","1","3","0","27.3","27.3","9.1","9.1","9.1","27.3","0.0"
"202003","環境に関する取組","Q6. 貴組織において環境に配慮した取組を進める上での課題は何ですか。（○はいくつでも）","20～49人","4","6","3","0","4","2","0","40.0","60.0","30.0","0.0","40.0","20.0","0.0"
"202003","環境に関する取組","Q6. 貴組織において環境に配慮した取組を進める上での課題は何ですか。（○はいくつでも）","50～99人","2","2","1","1","5","3","1","20.0","20.0","10.0","10.0","50.0","30.0","10.0"
"202003","環境に関する取組","Q6. 貴組織において環境に配慮した取組を進める上での課題は何ですか。（○はいくつでも）","100～299人","0","4","3","2","4","4","0","0.0","33.3","25.0","16.7","33.3","33.3","0.0"
"202003","環境に関する取組","Q6. 貴組織において環境に配慮した取組を進める上での課題は何ですか。（○はいくつでも）","300人以上","5","7","15","10","3","5","1","17.9","25.0","53.6","35.7","10.7","17.9","3.6"
"202003","環境に関する取組","Q6. 貴組織において環境に配慮した取組を進める上での課題は何ですか。（○はいくつでも）","無回答","0","0","0","0","0","2","0","0.0","0.0","0.0","0.0","0.0","100.0","0.0"

"港区の環境に関する事業者アンケート調査結果・クロス集計表・環境に関する取組Q6","Ver202003",,,,,,,,,,,,,,,,
