"職種","現員 統括参事[人]","現員 参事[人]","現員 統括課長[人]","現員 副参事[人]","現員 課長補佐[人]","現員 係長[人]","現員 主査[人]","現員 主任[人]","現員 主事[人]","現員 計[人]","定数外 自治法上派遣[人]","定数外 休職、結核休養[人]","定数外 育休、公務災害休養[人]","定数外 派遣法による派遣[人]","定数外 派遣交流[人]","定数外 配偶者同行休業[人]"
"事務","0","14","19","34","43","169","36","345","355","1015","12","13","23","7","0","0"
"社会教育","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"(a)事務系計","0","14","19","34","43","170","36","345","355","1016","12","13","23","7","0","0"
"福祉 福祉","0","1","0","2","5","17","12","21","20","78","0","0","1","2","0","0"
"福祉 児童指導","0","0","0","0","1","4","11","13","9","38","0","1","1","0","0","0"
"福祉 保育士","0","0","0","0","7","8","41","104","157","317","0","2","29","0","0","0"
"心理","0","0","0","0","0","1","0","1","4","6","0","0","0","0","0","0"
"(b)福祉系計","0","1","0","2","13","30","64","139","190","439","0","3","31","2","0","0"
"土木造園 土木技術","0","1","2","5","7","22","1","18","29","85","1","0","1","0","0","0"
"土木造園 造園技術","0","0","0","1","0","2","0","5","3","11","0","0","0","0","0","0"
"建築","0","1","0","9","2","17","2","18","34","83","1","0","2","0","0","0"
"機械","0","0","0","0","0","1","0","5","2","8","0","0","0","0","0","0"
"電気","0","0","0","1","0","1","1","3","1","7","1","0","0","0","0","0"
"衛生監視 保健衛生","0","0","0","0","0","4","2","11","7","24","0","0","0","0","0","0"
"衛生監視 食品衛生","0","0","0","1","2","3","3","5","9","23","0","0","2","0","1","0"
"衛生監視 化学技術","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"学芸研究","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0"
"(c)一般技術系計","0","2","2","17","11","50","9","65","87","243","3","0","5","0","1","0"
"医師","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"診療放射線","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"歯科衛生","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0"
"理学療法","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"作業療法","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"検査技術","0","0","0","0","0","1","1","0","0","2","0","0","0","0","0","0"
"栄養士","0","0","0","0","0","1","3","2","2","8","0","0","0","0","0","0"
"保健師","0","0","0","0","2","2","8","12","13","37","0","0","1","0","0","0"
"看護師","0","0","0","0","0","0","4","7","4","15","0","0","0","0","0","0"
"(d)医療技術系計","0","2","0","0","2","4","16","23","21","68","0","1","1","0","0","0"
"Ⅰ 自動車運転","0","0","0","0","0","4","0","6","1","11","0","0","0","0","0","0"
"Ⅱ 警備","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0"
"Ⅱ 作業Ⅰ","0","0","0","0","0","1","0","2","8","11","0","2","0","0","0","0"
"Ⅲ 調理","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
"Ⅲ 用務","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"Ⅲ 作業Ⅱ","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"Ⅳ 家庭奉仕","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"Ⅴ 自動車運転Ⅱ","0","0","0","0","0","3","0","13","1","17","0","0","1","0","0","0"
"Ⅴ 自動車整備","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
"Ⅵ 作業Ⅲ","0","0","0","0","1","11","0","50","16","78","0","1","0","0","0","0"
"(e)技能系計","0","0","0","0","1","19","0","79","28","127","0","3","1","0","0","0"
"事務（業務）","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(f)業務系計","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(1)(a)～(f)一般関係計","0","19","21","53","70","273","125","651","681","1893","15","20","61","9","1","0"

"令和元年度港区行政資料集　一般関係職員（常勤職員）・再任用フルタイム勤務職員を含む","Ver201904",,,,,,,,,,,,,,,
