島名,事業項目,箇所名,施行地又は受益地,事業主体,着工年度（年）,完了年度（年）,全体計画事業費（千円）,全体計画国費（千円）,04年度予算当初事業費（千円）,04年度予算当初国費（千円）,04年度予算当初都費（千円）,04年度予算当初町村費（千円）,04年度予算当初その他費（千円）,備考事業概要,所管局
御蔵島,"離島活性化交付金
（流通効率化事業含む）",御蔵島村,港区海岸(竹芝ふ頭）、　　　　御蔵島村,伊豆諸島地域航路流通効率化事業協議会,R5,R7,0,0,"3,000","1,500",0,"1,500",0,伊豆諸島地域航路流通効率化事業,
,,離島活性化交付金計,,,,,0,0,"3,000","1,500",0,"1,500",0,,
,離島漁業再生支援交付金,御蔵島村,御蔵島全域,村,R2,R6,"13,200","6,600","1,120",560,280,280,0,都内離島地域において、漁業集落が行う漁場の生産力の向上、新規就業者の確保促進等の対策を支援することにより、漁業の再生を目指す。,
,,離島漁業再生支援交付金計,,,,,"13,200","6,600","1,120",560,280,280,0,,
,医療施設等設備整備費,国民健康保険直営診療施設等施設整備助成,,,,,,,,,,,,,
,,へき地診療所施設等整備費補助,御蔵島村,村,,,0,0,"6,600","3,300","1,650","1,650",0,へき地診療所を運営する町村に対し、施設の整備又は医療機器の整備に要する経費の一部を補助することにより、地域医療の確保と向上に資する。,
,,医療施設等設備整備費計,,,,,0,0,"6,600","3,300","1,650","1,650",0,,
,へき地児童生徒援助費等補助金のうち離島高校生修学支援事業,離島高校生修学支援,御蔵島村,村,R5,R5,"1,200",600,"1,200",600,0,600,0,,
,,離島高校生修学支援事業計,,,,,"1,200",600,"1,200",600,0,600,0,,
,へき地児童生徒援助費補助金,高度へき地修学旅行費,御蔵島村,村,R5,R5,180,120,180,120,0,60,0,,
,,へき地児童生徒援助費補助金計,,,,,180,120,180,120,0,60,,,
,御　蔵　島　計,,,,,,"14,580","7,320","12,100","6,080","1,930","4,090",0,,
,三 宅 支 庁 管 内 計,,,,,,"49,616","30,164","81,737","46,223","6,332","22,392","6,790",,
