科目,04決算額（千円）,04構成比（％）,03決算額（千円）,03構成比（％）,対前年度増減額（千円）,増減率（％）,,,,,,,,,,,
地方税,"46,538",2.4,"44,755",2.7,"1,783",4,,,,,,,,,,,
地方譲与税,"1,935",0.1,"1,844",0.1,91,4.9,,,,,,,,,,,
利子割交付金,73,0,58,0,15,25.9,,,,,,,,,,,
法人事業税交付金,"1,600",0.1,785,0,815,103.8,,,,,,,,,,,
地方消費税交付金,"8,518",0.4,"8,397",0.5,121,1.4,,,,,,,,,,,
配当割交付金,396,0,407,0,△11,△2.7,,,,,,,,,,,
株式等譲渡所得割交付金,308,0,485,0,△177,△36.5,,,,,,,,,,,
地方特例交付金,0,0,257,0,△257,皆減　,,,,,,,,,,,
地方交付税,"479,241",25.1,"471,450",28.1,"7,791",1.7,,,,,,,,,,,
自動車取得税交付金,61,0,3,0,58,1933.3,,,,,,,,,,,
自動車税環境性能割交付金,388,0,337,0,51,15.1,,,,,,,,,,,
使用料,"20,467",1.1,"17,666",1.1,"2,801",15.9,,,,,,,,,,,
手数料,131,0,175,0,△44,△25.1,,,,,,,,,,,
国庫支出金,"134,337",7,"123,105",7.3,"11,232",9.1,,,,,,,,,,,
都道府県支出金,"597,226",31.3,"423,198",25.2,"174,028",41.1,,,,,,,,,,,
財産収入,"6,208",0.3,"6,030",0.4,178,3,,,,,,,,,,,
寄附金,280,0,"1,360",0.1,"△1,080",△79.4,,,,,,,,,,,
分担金及び負担金,598,0,590,0,8,1.4,,,,,,,,,,,
繰入金,"313,450",16.4,"458,158",27.3,"△144,708",△31.6,,,,,,,,,,,
繰越金,"211,412",11.1,"19,837",1.2,"191,575",965.7,,,,,,,,,,,
諸収入,"81,572",4.3,"86,314",5.1,"△4,742",△5.5,,,,,,,,,,,
地方債,"3,000",0.2,"13,000",0.8,"△10,000",△76.9,,,,,,,,,,,
合計,"1,907,739",100,"1,678,211",100,"229,528",13.7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"3,000",0.2,"13,000",0.8,"△10,000",△76.9
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"1,907,739",100,"1,678,211",100,"229,528",13.7
