科目,04決算額（千円）,04構成比（％）,03決算額（千円）,03構成比（％）,対前年度増減額03（千円）,増減率（％）,,,,,,,,,,,,,
議会費,"47,644",1.1,"41,036",0.9,"6,608",16.1,,,,,,,,,,,,,
総務費,"794,304",18.9,"1,092,055",24,"△297,751",△27.3,,,,,,,,,,,,,
民生費,"538,599",12.8,"527,609",11.6,"10,990",2.1,,,,,,,,,,,,,
衛生費,"741,032",17.7,"662,944",14.6,"78,088",11.8,,,,,,,,,,,,,
労働費,"54,618",1.3,"51,678",1.1,"2,940",5.7,,,,,,,,,,,,,
農林水産業費,"199,666",4.8,"296,262",6.5,"△96,596",△32.6,,,,,,,,,,,,,
商工費,"399,715",9.5,"262,282",5.8,"137,433",52.4,,,,,,,,,,,,,
土木費,"258,297",6.2,"221,723",4.9,"36,574",16.5,,,,,,,,,,,,,
消防費,"354,618",8.5,"669,974",14.7,"△315,356",△47.1,,,,,,,,,,,,,
教育費,"327,346",7.8,"297,762",6.5,"29,584",9.9,,,,,,,,,,,,,
災害復旧費,"18,843",0.4,"72,265",1.6,"△53,422",△73.9,,,,,,,,,,,,,
公債費,"389,510",9.3,"292,410",6.4,"97,100",33.2,,,,,,,,,,,,,
諸支出金,"67,832",1.6,"65,200",1.4,"2,632",4,,,,,,,,,,,,,
合計,"4,192,024",100,"4,553,200",100,"△361,176",△7.9,,,,,,,,,,,,,
