補助単独別,事業名,事業量,事業費（千円）,財源内訳国庫支出金（千円）,財源内訳都支出金（千円）,財源内訳地方債（千円）,財源内訳その他（千円）,財源内訳一般財源（千円）
単独,急斜面地崩壊対策事業分担金,急斜面地崩壊対策事業分担金,"3,000 ",,,,,"3,000 "
単独,用地購入,急斜面地崩壊対策用地,"2,759 ",,,,"2,000 ",759 
単独,電気自動車購入,電気自動車購入,"3,442 ",,,,"3,000 ",442 
単独,ふれあい広場整備工事,バンガロー設置,"23,606 ",,"10,000 ",,,"13,606 "
単独,観光資料館壁面スクリーン設置工事,観光資料館壁面スクリーン設置工事,"3,111 ",,"1,500 ",,,"1,611 "
単独,村道赤沢線新設工事,村道赤沢線新設工事,"61,017 ",,"29,239 ",,,"31,778 "
単独,用地購入,道路用地,"4,323 ",,,,"3,000 ","1,323 "
単独,残土処分施設整備事業,赤沢地区・イナサ地区整備事業,"20,801 ",,,,"15,000 ","5,801 "
単独,えびね公園改修工事,えびね応援改修工事,"22,990 ",,"10,000 ",,,"12,990 "
補助,里内住宅整備事業,里内住宅整備事業,"43,731 ","19,186 ",,,"5,000 ","19,545 "
補助,たりぼう・森山ケ下住宅整備事業,仮設道路・擁壁工事外,"102,509 ","18,875 ",,,"10,000 ","73,704 "
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
