税目１,税目２,税目３,調定額現年課税分（千円）,調定額滞納繰越分（千円）,収入額現年課税分（千円）,収入額滞納繰越分（千円）,収入歩合現年（％）,収入歩合滞納（％）
普通税,村民税,個人,"168,523","5,897","161,170","4,973",95.6,84.3
普通税,村民税,法人,"9,189",268,"9,189",118,100,44
普通税,村民税,計,"177,712","6,165","170,359","5,091",95.9,82.6
普通税,固定資産税,純固定資産税,"116,311","3,848","114,396",758,98.4,19.7
普通税,固定資産税,交付金,"20,292",0,"20,292",0,100,  -
普通税,固定資産税,計,"136,603","3,848","134,688",758,98.6,19.7
普通税,軽自動車税,,"13,742",75,"13,366",0,97.3,0
普通税,たばこ税,,"28,138",0,"28,138",0,100,  -
普通税,特別土地保有税,,0,0,0,0,  -,  -
普通税,入湯税,,"2,794",0,"2,794",0,100,  -
普通税,合計,,"358,989","10,088","349,345","5,849",97.3,58
国民健康保険税,,,"66,696","3,841","61,371","2,077",92,54.1
