補助単独別,事業名,事業量,事業費（千円）,財源内訳国庫支出金（千円）,財源内訳都支出金（千円）,財源内訳地方債（千円）,財源内訳その他（千円）,財源内訳一般財源（千円）
補助,役場臨時庁舎改修事業,浄化槽取替工事、照明LED化工事　ほか,"47,707",54,759,0,0,"46,894"
単独,情報通信基盤施設整備事業,光ケーブル敷設工事、光ケーブル損傷復旧工事　ほか,"44,931",0,"13,686",0,0,"31,245"
単独,クリーンセンター改修事業,クリーンセンター施設更新工事、定期保全整備工事　ほか,"137,171",0,"67,461",0,0,"69,710"
単独,汚泥再生処理センター改修事業,汚泥脱水機緊急整備工事、ITV・工業用計器補修工事　ほか,"23,574",0,"16,368",0,0,"7,206"
単独,山村・離島振興施設整備事業,農業施設整備補助金,"40,725",0,"35,938",0,0,"4,787"
単独,八重間ストックマネジメント事業,八重間パイプライン改修工事、実施設計委託ほか,"79,014",0,"69,783",0,0,"9,231"
補助,海水浴場運営事業,大船戸シャワー室新築工事、大船戸階段設置工事　ほか,"28,546","23,405","2,933",0,0,"2,208"
補助,ふるさと体験ビレッジ改修事業,ふるさと味覚館壁補修工事、ふるさとの湯休憩室改修工事　ほか,"59,500","25,289","25,562",0,0,"8,649"
単独,夕景浜温泉維持管理,温泉送湯管更新工事,"52,100",0,"24,735",0,0,"27,365"
単独,公設宿泊施設調査事業,測量調査・地盤調査業務委託、アドバイザリー業務委託　ほか,"38,556",0,"29,566",0,0,"8,990"
単独,道路新設改良事業,阿古幹線改修工事、橋の平・十駄ヶ池1号線CBR調査委託　ほか,"48,911",0,"43,559",0,0,"5,352"
単独,安全施設整備事業,安全施設整備工事、反射鏡設置工事、防護柵改修工事　ほか,"16,758",0,"12,960",0,0,"3,798"
補助,村営住宅改修事業,設計業務委託、監理業務委託、玄関改修工事　ほか,"59,510","23,445","32,079",0,0,"3,986"
単独,村営住宅補修事業,給湯器取替工事、屋上防水補修工事、内装工事　ほか,"20,353",0,"17,000",0,0,"3,353"
単独,安全確保対策,噴石シェルター新築工事、監理業務委託　ほか,"19,507",0,"15,157",0,0,"4,350"
単独,坪田分団詰所新設事業,坪田分団詰所新築工事、監理業務委託　ほか,"125,212",0,"76,000",0,0,"49,212"
単独,救急自動車整備事業,高規格救急自動車購入、デジタル無線機転載委託　ほか,"13,251",0,0,0,0,"13,251"
補助,通学バス更新事業,スクールバス車両購入、バス海上輸送業務委託　ほか,"8,729","3,310","3,800",0,0,"1,619"
補助,中学校施設補修事業,中学校雨漏り補修工事、職員室空調機更新工事　ほか,"9,760","1,793","6,500",0,0,"1,467"
補助,社会教育施設補修事業,文化会館電気室扉改修工事、文化会館ホール扉取替工事　ほか,"13,068",230,"8,606",0,0,"4,232"
単独,三宅島郷土資料館補修事業,三宅島郷土資料館トップライト補修工事,"9,055",0,"6,854",0,0,"2,201"
単独,体育施設改修事業,阿古体育館補修工事実施設計、テニスコート整備実施設計　ほか,"13,671",0,"6,170",0,0,"7,501"
,,,,,,,,
,,,,,,,,
,,,,,,,,
