税目１,税目２,税目３,調定額現年課税分（千円）,調定額滞納繰越分（千円）,収入額現年課税分（千円）,収入額滞納繰越分（千円）,収入歩合現年（％）,収入歩合滞納（％）
普通税,村民税,個人,"24,106",489,"24,106",0,100,0
普通税,村民税,法人,"2,283",0,"2,283",0,100,-
普通税,村民税,計,"26,389",489,"26,389",0,100,0
普通税,固定資産税,純固定資産税,"15,045",28,"15,045",0,100,0
普通税,固定資産税,交付金,"1,484",0,"1,484",0,100,-
普通税,固定資産税,計,"16,529",28,"16,529",0,100,0
普通税,軽自動車税,,"1,120",8,"1,120",0,100,0
普通税,たばこ税,,"2,501",0,"2,501",0,100,-
普通税,特別土地保有税,,0,0,0,0,  -,-
普通税,入湯税,,0,0,0,0,  -,-
普通税,合計,,"46,539",525,"46,539",0,100,0
国民健康保険税,,,"7,992",0,"7,992",0,100,-
