島名,事業項目,箇所名,施行地又は受益地,事業主体,着工年度（年）,完了年度（年）,全体計画事業費（千円）,全体計画国費（千円）,04年度予算当初事業費（千円）,04年度予算当初国費（千円）,04年度予算当初都費（千円）,04年度予算当初町村費（千円）,04年度予算当初その他費（千円）,備考事業概要,所管局
三宅島,"離島活性化交付金
（流通効率化事業含む）",三宅村,三宅村全域,村,R4,R6,,,"5,703","2,851",,,,三宅村移住定住推進事業,総務局
三宅島,,離島活性化交付金計,,,,,0,0,"5,703","2,851",0,0,,,
三宅島,,三宅島,三宅島全域,村,H30,,,,"13,469","6,734",,"3,367","3,368",雇用機会拡充事業,総務局
三宅島,,特定有人国境離島地域社会維持推進交付金計,,,,,0,0,"13,469","6,734",0,"3,367","3,368",,
三宅島,離島漁業再生支援交付金,三宅村,三宅島全域,村,R2,R6,"23,080","11,540","4,616","2,308","1,154","1,154",,都内離島地域において、漁業集落が行う漁場の生産力の向上、新規就業者の確保促進等の対策を支援することにより、漁業の再生を目指す。,産業労働局
三宅島,,離島漁業再生支援交付金計,,,,,"23,080","11,540","4,616","2,308","1,154","1,154",,,
三宅島,,へき地診療所施設等整備費補助,三宅村,村,,,0,0,"12,991","6,495","3,248","3,248",,へき地診療所を運営する町村に対し、施設の整備、または医療機器の整備に要する経費の一部を補助することにより、地域医療の確保と向上に資する。,福祉保健局
三宅島,,医療施設等設備整備費計,,,,,0,0,"12,991","6,495","3,248","3,248",,,
三宅島,へき地児童生徒援助費補助金,高度へき地修学旅行費,三宅村,村,R4,R4,"3,291","1,233","3,291","1,233",,"2,058",,児童生徒の修学旅行に要する経費を一部負担。年度単位で実施,教育庁
三宅島,,へき地児童生徒援助費補助金計,,,,,"3,291","1,233","3,291","1,233",0,"2,058",,,
三宅島,農業水路等長寿命化・防災減災事業,笠地貯水池,三宅村阿古,村,R4,R4,"5,000","5,000","5,000","5,000",0,0,0,実施計画策定,産業労働局
三宅島,,農業水路等長寿命化・防災減災事業計,,,,,"5,000","5,000","5,000","5,000",0,0,0,,
三宅島,"その他
（生活基盤施設耐震化等交付金）",水道施設等耐震化事業・生活基盤近代化事業・基幹改良,三宅村,村,H26,R5,"513,423","129,260","56,786","13,773","25,356","5,957","11,700",配水管整備事業,福祉保健局
三宅支庁管内計,,生活基盤施設耐震化等交付金計,,,,,"513,423","129,260","56,786","13,773","25,356","5,957","11,700",,
,三　宅　島　計,,,,,,"544,794","147,033","101,856","38,394","29,758","15,784","15,068",,
