科目,31決算額（円）,31構成比（％）,31指数（％）,02決算額（円）,02構成比（％）,02指数（％）,03決算額（円）,03構成比（％）,03指数（％）
総務費,"342,198,290 ",9.09 ,100.00 ,"359,208,671 ",9.77 ,104.97 ,"127,216,610 ",3.12 ,37.18 
徴税費,"5,833,349 ",0.15 ,100.00 ,"5,622,430 ",0.15 ,96.38 ,"5,350,880 ",0.13 ,91.73 
スポーツ振興費,"80,403 ",0.00 ,100.00 ,0 ,[sanitize],[sanitize],0 ,[sanitize],[sanitize]
都市整備費,"23,090 ",0.00 ,100.00 ,0 ,[sanitize],[sanitize],0 ,[sanitize],[sanitize]
環境費,"85,664,858 ",2.28 ,114.09 ,"68,531,066 ",1.86 ,80.00 ,"73,963,191 ",1.81 ,86.34 
福祉保健費,"56,266,435 ",1.49 ,100.00 ,"51,581,350 ",1.49 ,91.67 ,"47,506,185 ",1.17 ,84.43 
産業労働費,"420,233,803 ",11.16 ,100.00 ,"472,545,523 ",12.85 ,112.45 ,"589,433,484 ",14.46 ,140.26 
土木費,"2,468,667,922 ",65.59 ,100.00 ,"2,309,793,043 ",62.80 ,93.56 ,"2,568,277,761 ",63.02 ,104.03 
港湾費,"385,099,326 ",10.23 ,100.00 ,"410,709,858 ",11.17 ,106.65 ,"663,747,060 ",16.29 ,172.36 
諸支出金,0 ,[sanitize],[sanitize],0 ,[sanitize],[sanitize],0 ,[sanitize],[sanitize]
計,"3,764,067,476 ",100.00 ,100.00 ,"3,677,991,941 ",100.00 ,97.71 ,"4,075,495,171 ",100.00 ,108.27 
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
