年月,三池港定期船回数（回）,三池港定期船トン数（トン）,三池港臨時船回数（回）,三池港臨時船トン数（トン）,三池港計回数（回）,三池港計トン数（トン）,阿古漁港定期船回数（回）,阿古漁港定期船トン数（トン）,阿古漁港臨時船回数（回）,阿古漁港臨時船トン数（トン）,阿古漁港計回数（回）,阿古漁港計トン数（トン）,伊ヶ谷漁港定期船回数（回）,伊ヶ谷漁港定期船トン数（トン）,伊ヶ谷漁港臨時船回数（回）,伊ヶ谷漁港臨時船トン数（トン）,伊ヶ谷漁港計回数（回）,伊ヶ谷漁港計トン数（トン）,御蔵島港定期船回数（回）,御蔵島港定期船トン数（トン）,御蔵島港臨時船回数（回）,御蔵島港臨時船トン数（トン）,御蔵島港計回数（回）,御蔵島港計トン数（トン）,
4,12,"68,172",4,"1,918",16,"70,090",28,"159,904",13,"5,042",41,"164,946",17,"97,413",8,"3,634",25,"101,047",,42,"239,438",8,"3,197",50,"242,635"
5,47,"267,843",6,"2,760",53,"270,603",13,"75,525",5,"1,752",18,"77,277",2,"11,362",6,"2,790",8,"14,152",,42,"241,110",4,"1,577",46,"242,687"
6,10,"59,736",2,898,12,"60,634",40,"238,526",12,"4,546",52,"243,072",10,"58,482",9,"4,180",19,"62,662",,57,"339,701",9,"7,248",66,"346,949"
7,27,"153,387",5,"2,341",32,"155,728",14,"79,534",8,"2,637",22,"82,171",21,"119,301",7,"3,142",28,"122,443",,43,"244,283",6,"2,234",49,"246,517"
8,34,"193,154",7,"3,509",41,"196,663",6,"34,086",8,"2,738",14,"36,824",15,"85,215",5,"2,428",20,"87,643",,37,"210,197",6,"2,234",43,"212,431"
9,11,"62,491",2,898,13,"63,389",33,"187,891",12,"4,516",45,"192,407",14,"80,788",9,"4,148",23,"84,936",,43,"245,119",8,"3,154",51,"248,273"
10,2,"11,362",0,0,2,"11,362",39,"223,231",12,"4,495",51,"227,726",13,"75,107",5,"2,320",18,"77,427",,39,"223,231",8,"3,465",47,"226,696"
11,23,"132,335",6,"2,792",29,"135,127",30,"170,430",11,"3,762",41,"174,192",4,"22,724",3,"1,314",7,"24,038",,38,"217,132",7,"2,239",45,"219,371"
12,35,"200,507",6,"2,788",41,"203,295",11,"62,491",3,"1,117",14,"63,608",7,"39,767",5,"2,212",12,"41,979",,19,"107,939",7,"2,957",26,"110,896"
1,24,"136,762",2,920,26,"137,682",13,"73,853",7,"2,509",20,"76,362",21,"119,301",7,"3,218",28,"122,519",,25,"142,025",5,"2,037",30,"144,062"
2,29,"164,749",9,"4,289",38,"169,038",9,"51,129",6,"1,975",15,"53,104",8,"45,448",3,"1,314",11,"46,762",,14,"79,534",6,"2,236",20,"81,770"
3,27,"153,387",6,"2,738",33,"156,125",16,"90,896",11,"3,868",27,"94,764",15,"85,215",7,"3,250",22,"88,465",,35,"198,835",9,"3,394",44,"202,229"
合計,281,"1,603,885",55,"25,851",336,"1,629,736",252,"1,447,496",108,"38,957",360,"1,486,453",147,"840,123",74,"33,950",221,"874,073",,434,"2,488,544",83,"35,972",517,"2,524,516"
R2,336,"1,894,246",70,"43,394",406,"1,937,640",255,"1,445,697",105,"36,323",360,"1,482,020",83,"446,158",65,"35,257",148,"501,415",,440,"2,483,862",82,"37,589",522,"2,521,451"
31,250,"1,407,159",68,"31,381",318,"1,438,540",270,"1,504,932",121,"43,213",391,"1,548,145",138,"775,710",100,"45,460",238,"821,170",,420,"2,349,503",154,"31,202",574,"2,380,705"
30,317,"1,780,207",109,"50,687",426,"1,830,894",262,"1,471,886",119,"45,459",381,"1,517,345",99,"554,840",83,"38,011",182,"592,851",,429,"2,410,967",82,"35,444",511,"2,446,411"
29,291,"1,633,879",124,"58,364",415,"1,692,243",283,"1,582,230",122,"43,803",405,"1,626,033",89,"501,475",74,"35,040",163,"536,515",,475,"2,663,336",88,"34,641",563,"2,697,977"
28,219,"1,232,426",97,"46,349",316,"1,278,775",300,"1,682,252",156,"56,651",456,"1,738,903",150,"840,437",138,"63,341",288,"903,778",,471,"2,644,057",150,"60,846",621,"2,704,903"
