区分・団体名,指摘（団体）,指摘（局及び団体）,指摘（局）,意見・要望,合計
（補助金）大島町,,,,,
（補助金）大島町商工会,,,,,
（補助金）八丈町,,,,,
（補助金）八丈町商工会,,,,,
（補助金）公益財団法人東京都私学財団,2,,,1,3
（補助金）学校法人７８団体,,1,,,1
（補助金）公益社団法人東京都歯科医師会（再掲）,3,1,1,,5
（補助金）社会福祉法人等８０団体,,14,2,2,18
（補助金）公益財団法人東京都中小企業振興公社,,1,,,1
（補助金）公益財団法人東京観光財団,1,,,,1
（補助金）東京信用保証協会,,,,,
（補助金）東海汽船株式会社など７団体,,,,,
（出資）八丈島空港ターミナルビル株式会社,,,,,
（出資）公立大学法人首都大学東京,6,,,,6
（出資）株式会社セントラルプラザ,,1,1,,2
（出資）株式会社東京スタジアム,,2,2,,4
（出資）東京都住宅供給公社,5,3,6,,14
（出資）東京臨海高速鉄道株式会社,,,,,
（出資）株式会社建設資源広域利用センター,,,,,
（出資）公益財団法人東京都保健医療公社,3,2,,1,6
（出資）公益財団法人東京しごと財団,,,,,
（出資）株式会社ＰＵＣ,8,,1,,9
（指定管理）大島町（再掲）,,,,,
（指定管理）東京都住宅供給公社（再掲）,5,3,6,,14
（指定管理）公益社団法人東京都歯科医師会（東京都立心身障害者口腔保健センター）,3,1,1,,5
（指定管理）八丈島空港ターミナルビル株式会社（再掲）,,,,,
合計,28,25,13,4,70
,,,,,
,,,,,
,,,,,
